Time step	Time[s]	Position[m]	Min	Mean	Max	Std
1.0	1.1099271887764162	0.0	-3.6882771720841596	-3.6797202434047924	-3.6693157817299893	0.005450169736615646
1.0	1.1099271887764162	4e-07	-3.68827708647536	-3.6797205756643288	-3.6693161097813896	0.005448260385813081
1.0	1.1099271887764162	8e-07	-3.688277098869082	-3.6797204251078446	-3.6693157502431495	0.005447842828941478
1.0	1.1099271887764162	1.2000000000000002e-06	-3.688282357383658	-3.6796832999002764	-3.6693086826653483	0.005636067279109983
1.0	1.1099271887764162	1.6e-06	-3.6882853238704536	-3.679651144717502	-3.6693041855290867	0.0057932995638795975
1.0	1.1099271887764162	2e-06	-3.6882897608531744	-3.679597771932597	-3.66929711851083	0.006047024271806458
1.0	1.1099271887764162	2.4000000000000003e-06	-3.688287779236946	-3.6795642506513944	-3.669299885255385	0.006198820209435263
1.0	1.1099271887764162	2.8000000000000003e-06	-3.688285840524258	-3.679524552930304	-3.6693020311577174	0.006375250488010943
1.0	1.1099271887764162	3.2e-06	-3.6882850911612826	-3.6794953258584657	-3.669303153430529	0.0065016769364332075
1.0	1.1099271887764162	3.6e-06	-3.6882851743639136	-3.6794650453671927	-3.669303153430529	0.00663003357698855
1.0	1.1099271887764162	4e-06	-3.688286034318604	-3.679440542759206	-3.669302190368616	0.006731933533581035
1.0	1.1099271887764162	4.4e-06	-3.688290255464715	-3.6794165908391205	-3.669297597928158	0.006830814802902526
1.0	1.1099271887764162	4.800000000000001e-06	-3.688289058942291	-3.6794166809219906	-3.669298402406687	0.006830478086340836
1.0	1.1099271887764162	5.2e-06	-3.688289644860398	-3.6794167261887716	-3.66929711851083	0.006830771237542249
1.0	1.1099271887764162	5.600000000000001e-06	-3.688285699122128	-3.679440687315967	-3.6693020311577174	0.006731862262257293
1.0	1.1099271887764162	6e-06	-3.6882849006542386	-3.679465158334575	-3.66930321236559	0.006629938035995176
1.0	1.1099271887764162	6.4e-06	-3.68828492884927	-3.6794954493491248	-3.669303429859447	0.0065015458185037995
1.0	1.1099271887764162	6.8e-06	-3.6882857661593462	-3.6795246995522826	-3.6693026583949786	0.006375078916346908
1.0	1.1099271887764162	7.2e-06	-3.6882874836559356	-3.6795644062907127	-3.669300596057733	0.006198612510337748
1.0	1.1099271887764162	7.6e-06	-3.6882899109912137	-3.679597771662855	-3.6692983339664704	0.006046814409079901
1.0	1.1099271887764162	8e-06	-3.688284928956268	-3.6796511247837005	-3.669305357006043	0.0057930435030314475
1.0	1.1099271887764162	8.4e-06	-3.6882815468725894	-3.679683217361233	-3.6693101837607918	0.005635772764234497
1.0	1.1099271887764162	8.8e-06	-3.6882756759111204	-3.6797201891192524	-3.6693180170949127	0.005447540364009829
1.0	1.1099271887764162	9.2e-06	-3.6882755077461296	-3.679720274184323	-3.669318558227579	0.005447811666743549
1.0	1.1099271887764162	9.600000000000001e-06	-3.688275528393862	-3.6797202738403407	-3.6693185747620354	0.0054478116438031274
1.0	1.1099271887764162	9.999999999999999e-06	-3.6882756892598083	-3.6797201890911966	-3.6693180542118564	0.005447539896447955
1.0	1.1099271887764162	1.04e-05	-3.6882814670378243	-3.6796831811102337	-3.669310409388075	0.005635779118875651
1.0	1.1099271887764162	1.08e-05	-3.688284757373576	-3.679651123499768	-3.6693054818713833	0.005793040483455609
1.0	1.1099271887764162	1.1200000000000001e-05	-3.688289586032239	-3.6795978586776394	-3.6692978603658117	0.006046790805020501
1.0	1.1099271887764162	1.16e-05	-3.6882876143428867	-3.679564414665881	-3.669300599243891	0.006198605982915684
1.0	1.1099271887764162	1.2e-05	-3.6882857781657514	-3.6795247904311323	-3.669302620591632	0.0063750547959195445
1.0	1.1099271887764162	1.24e-05	-3.688285111123358	-3.6794956185824237	-3.6693036358266866	0.006501506448743279
1.0	1.1099271887764162	1.28e-05	-3.6882852583889467	-3.679465387259261	-3.669303546767072	0.00662988819309235
1.0	1.1099271887764162	1.32e-05	-3.68828616767541	-3.679440923536188	-3.6693025137747655	0.006731812264195001
1.0	1.1099271887764162	1.36e-05	-3.688290422650205	-3.6794170044805243	-3.6692978713987667	0.006830714996164126
1.0	1.1099271887764162	1.4e-05	-3.688289228261048	-3.6794171140276366	-3.669298671957119	0.006830394507672211
1.0	1.1099271887764162	1.44e-05	-3.6882898170562166	-3.679417178271304	-3.6692973851448047	0.006830703809369335
1.0	1.1099271887764162	1.48e-05	-3.6882859075531753	-3.67944115368118	-3.6693022512861244	0.006731815720707177
1.0	1.1099271887764162	1.52e-05	-3.688285159801735	-3.6794656423478314	-3.6693033646602853	0.006629914940229609
1.0	1.1099271887764162	1.56e-05	-3.6882852583889467	-3.67949595456944	-3.6693034942096396	0.00650154689101882
1.0	1.1099271887764162	1.6e-05	-3.68828616767541	-3.679525230177783	-3.6693026218223155	0.006375103871285475
1.0	1.1099271887764162	1.6400000000000002e-05	-3.6882879751080373	-3.6795649677380435	-3.6693004079970812	0.006198654197217679
1.0	1.1099271887764162	1.68e-05	-3.688290422650205	-3.6795983668900987	-3.6692981325329983	0.006046872889199455
1.0	1.1099271887764162	1.7199999999999998e-05	-3.688285841028435	-3.6796517622818397	-3.669304626868393	0.005793123736240174
1.0	1.1099271887764162	1.76e-05	-3.6882827704457766	-3.679683892421099	-3.6693090258866956	0.005635876819423426
1.0	1.1099271887764162	1.8e-05	-3.688277310332854	-3.679720904853497	-3.669316230022571	0.005447649901563756
1.0	1.1099271887764162	1.84e-05	-3.688277364755556	-3.6797210038512245	-3.669316632478501	0.005448051850449926
1.0	1.1099271887764162	1.88e-05	-3.68827768008903	-3.679720680736322	-3.66931670515298	0.005449914562322363
5.0	9.109207123512697	0.0	-3.6876178599443463	-3.6789743114541316	-3.668308607479239	0.00552998149204335
5.0	9.109207123512697	4e-07	-3.6876175845077324	-3.678974667986644	-3.6683090761294865	0.005527989648603758
5.0	9.109207123512697	8e-07	-3.6876171169748098	-3.678974507752067	-3.668308999552651	0.005527449498369173
5.0	9.109207123512697	1.2000000000000002e-06	-3.687623009635937	-3.6789345561791302	-3.6683010183769804	0.005718877888309474
5.0	9.109207123512697	1.6e-06	-3.6876259971609553	-3.67889995599424	-3.6682962415941303	0.005878685886869529
5.0	9.109207123512697	2e-06	-3.6876306525866704	-3.6788424808842417	-3.66828878398812	0.006136677123986911
5.0	9.109207123512697	2.4000000000000003e-06	-3.6876277554261474	-3.678806412042306	-3.6682923481374643	0.006290742131527297
5.0	9.109207123512697	2.8000000000000003e-06	-3.6876249585160146	-3.6787636766970944	-3.668295102094391	0.006469932455650853
5.0	9.109207123512697	3.2e-06	-3.687624218861082	-3.678732216497189	-3.6682964365137547	0.006598330629777761
5.0	9.109207123512697	3.6e-06	-3.687624306727182	-3.678699624148349	-3.6682964365137547	0.006728703749827754
5.0	9.109207123512697	4e-06	-3.687625235932968	-3.678673255419231	-3.66829531314115	0.0068322204314615045
5.0	9.109207123512697	4.4e-06	-3.6876312817768824	-3.6786474891662153	-3.6682894867385194	0.0069328048578205835
5.0	9.109207123512697	4.800000000000001e-06	-3.6876297091747503	-3.678647584492177	-3.6682904211602616	0.0069324519557457725
5.0	9.109207123512697	5.2e-06	-3.6876305092003245	-3.678647626506073	-3.66828878398812	0.006932748176303988
5.0	9.109207123512697	5.600000000000001e-06	-3.68762483397861	-3.678673400703258	-3.668295102094391	0.006832122125041324
5.0	9.109207123512697	6e-06	-3.687623931791063	-3.6786997352201856	-3.6682964902563477	0.006728565835900082
5.0	9.109207123512697	6.4e-06	-3.687624018186641	-3.678732336466578	-3.6682967321289803	0.006598138265485789
5.0	9.109207123512697	6.8e-06	-3.687624919788494	-3.6787638184008755	-3.6682957912008805	0.006469678463658989
5.0	9.109207123512697	7.2e-06	-3.6876273542873887	-3.6788065606980584	-3.668293027712628	0.00629042683369903
5.0	9.109207123512697	7.6e-06	-3.687630873668378	-3.6788424671644355	-3.668290167820984	0.006136336435311613
5.0	9.109207123512697	8e-06	-3.687625624610357	-3.6788999189648317	-3.6682978486124975	0.005878260910063443
