Type	Domain	Id	Name	Value	Unit
Position	L_material	n/a	x0 min	0.0	[]
Position	L_material	n/a	x0 max	42.0	[]
Length	L_material	n/a	along x0	42.0	[]
Position	L_material	n/a	x0 min	0.0	m
Position	L_material	n/a	x0 max	4.2e-05	m
Length	L_material	n/a	along x0	4.2e-05	m
Position	L_material	n/a	x1 min	0.0	[]
Position	L_material	n/a	x1 max	18.8	[]
Length	L_material	n/a	along x1	18.8	[]
Position	L_material	n/a	x1 min	0.0	m
Position	L_material	n/a	x1 max	1.88e-05	m
Length	L_material	n/a	along x1	1.88e-05	m
Position	L_material	n/a	x2 min	0.0	[]
Position	L_material	n/a	x2 max	18.8	[]
Length	L_material	n/a	along x2	18.8	[]
Position	L_material	n/a	x2 min	0.0	m
Position	L_material	n/a	x2 max	1.88e-05	m
Length	L_material	n/a	along x2	1.88e-05	m
Surface mesh	L_material	1	L. Active material - electrolyte+separator free of CBD (active interface)	6.592160000000236e-09	m2
Surface mesh	L_material	1	L. Active material - electrolyte+separator (active interface) MESH	6.592160000000236e-09	m2
Surface true	L_material	1	L. Active material - electrolyte+separator (active interface) TRUE	6.592160000000236e-09	m2
Surface mesh	L_material	2	L. Active material - L. current collector (applied current) MESH	2.9455999999999686e-10	m2
Surface mesh	L_material	7	L. Active material - other surfaces (inactive interface) MESH	2.600319999999979e-09	m2
Surface mesh	L_material	0	L. Active material non attributed surfaces  (should be =0) MESH	0.0	m2
Position	Electrolyte_w_sep	n/a	x0 min	0.0	[]
Position	Electrolyte_w_sep	n/a	x0 max	103.2	[]
Length	Electrolyte_w_sep	n/a	along x0	103.2	[]
Position	Electrolyte_w_sep	n/a	x0 min	0.0	m
Position	Electrolyte_w_sep	n/a	x0 max	0.0001032	m
Length	Electrolyte_w_sep	n/a	along x0	0.0001032	m
Position	Electrolyte_w_sep	n/a	x1 min	0.0	[]
Position	Electrolyte_w_sep	n/a	x1 max	18.8	[]
Length	Electrolyte_w_sep	n/a	along x1	18.8	[]
Position	Electrolyte_w_sep	n/a	x1 min	0.0	m
