Time step	Time[s]	Direction	Position[m]	Min	Mean	Max	Std
1.0	1.1099271887764162	0.0	6.12e-05	-3.6705409112932927	-1.3650337470331078	-0.4322726191485266	0.7549885459772099
1.0	1.1099271887764162	0.0	6.159999999999999e-05	-3.783264643710959	-2.100056847346058	-0.3116329812571751	0.7851170313497934
1.0	1.1099271887764162	0.0	6.2e-05	-4.239014852061	-2.193594119594616	-0.30391779470403246	1.0323549295957417
1.0	1.1099271887764162	0.0	6.24e-05	-4.264210866853129	-2.2050025453929654	-0.33090280116798365	1.188401598929919
1.0	1.1099271887764162	0.0	6.28e-05	-4.239440380495147	-2.1927423397532184	-0.32370245490771615	1.215128146619619
1.0	1.1099271887764162	0.0	6.32e-05	-4.228493123770741	-2.170078063040435	-0.33015192453888415	1.264821699051396
1.0	1.1099271887764162	0.0	6.36e-05	-4.196557448262599	-2.174578052609614	-0.3231465683634657	1.2636046031806838
1.0	1.1099271887764162	0.0	6.4e-05	-4.216235837197206	-2.290236276324328	-0.3021413474859833	1.2106467310293185
1.0	1.1099271887764162	0.0	6.440000000000001e-05	-4.226132055501071	-2.434638754130462	-0.3007412777108242	1.0219660617037647
1.0	1.1099271887764162	0.0	6.479999999999999e-05	-4.159884045600335	-2.4170708705213335	-0.326834569055948	1.1145183681969237
1.0	1.1099271887764162	0.0	6.52e-05	-4.143447228474173	-2.400924496244425	-0.32699648239800433	1.1694864958935478
1.0	1.1099271887764162	0.0	6.560000000000001e-05	-3.6652225474010134	-2.42092631723743	-0.9099286278099913	0.9214319650632123
1.0	1.1099271887764162	0.0	6.599999999999999e-05	-3.584484575402278	-2.3593448923535596	-0.9072808873492803	0.9223467419760716
1.0	1.1099271887764162	0.0	6.64e-05	-3.572639682244031	-2.3511757334089416	-0.9046943103069306	0.9190053850414568
1.0	1.1099271887764162	0.0	6.68e-05	-3.6260740873427313	-2.3950363797321743	-0.9016666787030374	0.9111023841564185
1.0	1.1099271887764162	0.0	6.72e-05	-4.053101501891522	-2.351280537975419	-0.3180712025805569	1.142483563380386
1.0	1.1099271887764162	0.0	6.76e-05	-4.049633880502811	-2.3515974503552117	-0.3163922663498406	1.0810376336056824
1.0	1.1099271887764162	0.0	6.8e-05	-4.081897094933448	-2.3517659323287394	-0.28913274450993137	0.9855873121223949
1.0	1.1099271887764162	0.0	6.840000000000001e-05	-4.059228236732889	-2.2043830296933105	-0.28781159677760343	1.1639432390073805
1.0	1.1099271887764162	0.0	6.879999999999999e-05	-4.017347043755885	-2.0851514213560267	-0.30797528880538966	1.2104929488617666
1.0	1.1099271887764162	0.0	6.92e-05	-4.040216587122076	-2.0753565321566674	-0.3132295918251162	1.208396169796876
1.0	1.1099271887764162	0.0	6.960000000000001e-05	-4.039617151050137	-2.092201322185147	-0.30725995184071064	1.157837631917646
1.0	1.1099271887764162	0.0	7e-05	-4.050893234825427	-2.10037666909084	-0.31256829188809104	1.1308671406992852
1.0	1.1099271887764162	0.0	7.04e-05	-3.9418910293261247	-2.0508289733497396	-0.286233446841572	0.9385435741724096
1.0	1.1099271887764162	0.0	7.08e-05	-3.320278815854294	-2.10986731081164	-0.6825556080311247	0.7857806528408189
1.0	1.1099271887764162	0.0	7.12e-05	-3.941721282792822	-2.0506177372005343	-0.2861566253651588	0.9385668367684756
1.0	1.1099271887764162	0.0	7.16e-05	-4.047487471922317	-2.098539966052201	-0.3120150996361691	1.1302963899678096
1.0	1.1099271887764162	0.0	7.2e-05	-4.027747981313953	-2.087454083452801	-0.30552314462490204	1.1557705563643934
1.0	1.1099271887764162	0.0	7.24e-05	-4.0195718903626	-2.0666204686772547	-0.31140141403175897	1.2037123271134222
1.0	1.1099271887764162	0.0	7.28e-05	-3.99097686284994	-2.0718280041934407	-0.3048710270495519	1.2031754798734355
1.0	1.1099271887764162	0.0	7.32e-05	-4.012575303823293	-2.183483504707249	-0.2846788989886216	1.153078636495215
1.0	1.1099271887764162	0.0	7.36e-05	-4.023641638984259	-2.323196961338994	-0.2835837450307384	0.9740889209259125
1.0	1.1099271887764162	0.0	7.4e-05	-3.966009340438304	-2.308254948070263	-0.30869433741047797	1.0630608829176578
1.0	1.1099271887764162	0.0	7.44e-05	-3.9527852661316505	-2.294393216022079	-0.3089554149372108	1.1164402343523754
1.0	1.1099271887764162	0.0	7.479999999999999e-05	-3.5052724713026717	-2.317618216733844	-0.8701724387443598	0.8817352600963773
1.0	1.1099271887764162	0.0	7.52e-05	-3.4321197266796752	-2.260885563220858	-0.8682271198567768	0.8837475457098338
1.0	1.1099271887764162	0.0	7.560000000000001e-05	-3.423666316648012	-2.255008893949272	-0.8662658409621428	0.881407914831557
1.0	1.1099271887764162	0.0	7.599999999999999e-05	-3.477521191102969	-2.299028903880573	-0.8639556355485319	0.874505812327644
1.0	1.1099271887764162	0.0	7.64e-05	-3.8890711423958617	-2.258841089035787	-0.301976349808864	1.097589641036535
1.0	1.1099271887764162	0.0	7.680000000000001e-05	-3.888141759635278	-2.2613759740176027	-0.3004729760365088	1.0397081736482214
1.0	1.1099271887764162	0.0	7.719999999999999e-05	-3.9222582126766805	-2.2639854342184598	-0.2742672650637989	0.9487381067463625
1.0	1.1099271887764162	0.0	7.76e-05	-3.9020622342371096	-2.12212391639457	-0.2732474535347214	1.1205906473524454
1.0	1.1099271887764162	0.0	7.8e-05	-3.865370681405689	-2.0079694488870823	-0.2927416037234208	1.1663391512992645
1.0	1.1099271887764162	0.0	7.840000000000001e-05	-3.8876695115519193	-1.9991390643684368	-0.29796455821854306	1.1647334903401854
1.0	1.1099271887764162	0.0	7.88e-05	-3.888334395537144	-2.0161907002638757	-0.2921538667196812	1.1165145492202855
1.0	1.1099271887764162	0.0	7.92e-05	-3.9005426339314413	-2.0245849717211404	-0.297456170437308	1.090603159157532
