Name	Start of simulation	End of simulation	Minimum	Maximum	Mean	Unit
C-rate left electrode	1.2	1.2	1.2	1.2	1.2	[]
C-rate right electrode	2.125714285714285	2.125714285714285	2.125714285714285	2.125714285714285	2.125714285714285	[]
Applied current density (current collector)	-39.73180618586697	-39.73180618586697	-39.73180618586697	-39.73180618586697	-39.73180618586697	[A.m-2]
Applied current (current collector)	-1.4042809578332822e-08	-1.4042809578332822e-08	-1.4042809578332822e-08	-1.4042809578332822e-08	-1.4042809578332822e-08	[A]
Current density, left interface	-2.1302288746529694	-2.1302288746529694	-2.1302288746529694	-2.1302288746529694	-2.1302288746529694	[A.m-2]
Current density, right interface	-2.1302288746529894	-2.1302288746529894	-2.1302288746529894	-2.1302288746529894	-2.1302288746529894	[A.m-2]
