Iteration	Time[s]	Self-consistency iteration	Newton_iteration	Potential relative norm[%]	Concentration relative norm[%]
1.0	1.1099271887764162	1.0	1.0	1.0	1.0
1.0	1.1099271887764162	1.0	2.0	1.0	1.0
1.0	1.1099271887764162	1.0	3.0	1.0	1.0
1.0	1.1099271887764162	1.0	4.0	4.766552449969531e-07	1.0830544142779635e-06
1.0	1.1099271887764162	1.0	5.0	1.5508764874017928e-12	1.0376622096877626e-10
1.0	1.1099271887764162	2.0	1.0	1.0	1.0
1.0	1.1099271887764162	2.0	2.0	1.0	1.0
1.0	1.1099271887764162	2.0	3.0	1.0	1.0
1.0	1.1099271887764162	2.0	4.0	1.9036749416403134e-07	2.10157288104665e-06
1.0	1.1099271887764162	2.0	5.0	8.544861906946664e-13	3.226065510505442e-11
1.0	1.1099271887764162	3.0	1.0	1.0	1.0
1.0	1.1099271887764162	3.0	2.0	1.0	1.0
1.0	1.1099271887764162	3.0	3.0	1.0	1.0
1.0	1.1099271887764162	3.0	4.0	4.775851679308543e-07	3.242613197997146e-06
1.0	1.1099271887764162	3.0	5.0	5.753783400387923e-13	2.551333191854829e-11
1.0	1.1099271887764162	4.0	1.0	1.0	1.0
1.0	1.1099271887764162	4.0	2.0	1.0	1.0
1.0	1.1099271887764162	4.0	3.0	1.0	1.0
1.0	1.1099271887764162	4.0	4.0	6.601726937600528e-07	4.050491870909431e-06
1.0	1.1099271887764162	4.0	5.0	6.2174948787696935e-12	3.973751087042694e-11
1.0	1.1099271887764162	5.0	1.0	1.0	1.0
1.0	1.1099271887764162	5.0	2.0	1.0	1.0
1.0	1.1099271887764162	5.0	3.0	1.0	1.0
1.0	1.1099271887764162	5.0	4.0	5.947407275446166e-07	3.739997635348589e-06
1.0	1.1099271887764162	5.0	5.0	6.3203354193909015e-12	3.9568412035305936e-11
1.0	1.1099271887764162	6.0	1.0	1.0	1.0
1.0	1.1099271887764162	6.0	2.0	1.0	1.0
1.0	1.1099271887764162	6.0	3.0	1.0	1.0
1.0	1.1099271887764162	6.0	4.0	6.02816929234643e-07	3.775325898689701e-06
1.0	1.1099271887764162	6.0	5.0	6.548833047199209e-12	4.036653236045049e-11
1.0	1.1099271887764162	7.0	1.0	1.0	1.0
1.0	1.1099271887764162	7.0	2.0	1.0	1.0
1.0	1.1099271887764162	7.0	3.0	1.0	1.0
1.0	1.1099271887764162	7.0	4.0	6.303123463070037e-07	3.901783591192049e-06
1.0	1.1099271887764162	7.0	5.0	6.957652943588194e-12	4.1986975139804717e-11
2.0	2.4973361747469363	1.0	1.0	1.0	1.0
2.0	2.4973361747469363	1.0	2.0	1.0	1.0
2.0	2.4973361747469363	1.0	3.0	1.0	1.0
2.0	2.4973361747469363	1.0	4.0	1.889715295494018e-08	5.0564268339871495e-08
2.0	2.4973361747469363	2.0	1.0	1.0	1.0
2.0	2.4973361747469363	2.0	2.0	1.0	1.0
2.0	2.4973361747469363	2.0	3.0	1.0	1.0
2.0	2.4973361747469363	2.0	4.0	9.842323679956362e-08	6.15951102155646e-07
2.0	2.4973361747469363	2.0	5.0	1.8572565338690374e-13	1.6768111291570622e-11
2.0	2.4973361747469363	3.0	1.0	1.0	1.0
2.0	2.4973361747469363	3.0	2.0	1.0	1.0
2.0	2.4973361747469363	3.0	3.0	1.0	1.0
2.0	2.4973361747469363	3.0	4.0	1.0058256285589618e-07	6.264163346145097e-07
2.0	2.4973361747469363	3.0	5.0	1.8579543942075427e-13	1.6747415558379465e-11
3.0	4.231597407210087	1.0	1.0	1.0	1.0
3.0	4.231597407210087	1.0	2.0	1.0	1.0
3.0	4.231597407210087	1.0	3.0	1.0	1.0
3.0	4.231597407210087	1.0	4.0	7.798472004487125e-09	2.926669711679518e-08
3.0	4.231597407210087	2.0	1.0	1.0	1.0
3.0	4.231597407210087	2.0	2.0	1.0	1.0
3.0	4.231597407210087	2.0	3.0	1.0	1.0
3.0	4.231597407210087	2.0	4.0	7.049613449859753e-09	3.0274817563620874e-08
3.0	4.231597407210087	3.0	1.0	1.0	1.0
3.0	4.231597407210087	3.0	2.0	1.0	1.0
3.0	4.231597407210087	3.0	3.0	1.0	1.0
3.0	4.231597407210087	3.0	4.0	7.037194324206235e-09	3.031076084872273e-08
4.0	6.399423947789025	1.0	1.0	1.0	1.0
4.0	6.399423947789025	1.0	2.0	1.0	1.0
4.0	6.399423947789025	1.0	3.0	1.0	1.0
4.0	6.399423947789025	1.0	4.0	3.408400520978722e-08	6.564284922664924e-08
4.0	6.399423947789025	2.0	1.0	1.0	1.0
4.0	6.399423947789025	2.0	2.0	1.0	1.0
4.0	6.399423947789025	2.0	3.0	1.0	1.0
4.0	6.399423947789025	2.0	4.0	3.536023513719022e-08	6.299034544407677e-08
4.0	6.399423947789025	3.0	1.0	1.0	1.0
4.0	6.399423947789025	3.0	2.0	1.0	1.0
4.0	6.399423947789025	3.0	3.0	1.0	1.0
4.0	6.399423947789025	3.0	4.0	3.541469873538394e-08	6.28282448369912e-08
5.0	9.109207123512697	1.0	1.0	1.0	1.0
5.0	9.109207123512697	1.0	2.0	1.0	1.0
5.0	9.109207123512697	1.0	3.0	1.0	1.0
5.0	9.109207123512697	1.0	4.0	1.2813774837066869e-08	6.993384351442314e-07
5.0	9.109207123512697	1.0	5.0	1.4243912867416485e-13	5.748186893551163e-12
5.0	9.109207123512697	2.0	1.0	1.0	1.0
5.0	9.109207123512697	2.0	2.0	1.0	1.0
5.0	9.109207123512697	2.0	3.0	1.0	1.0
5.0	9.109207123512697	2.0	4.0	4.0674638442649455e-08	8.621129789197681e-07
5.0	9.109207123512697	2.0	5.0	1.0401660935151895e-13	5.637291273426634e-12
5.0	9.109207123512697	3.0	1.0	1.0	1.0
5.0	9.109207123512697	3.0	2.0	1.0	1.0
5.0	9.109207123512697	3.0	3.0	1.0	1.0
5.0	9.109207123512697	3.0	4.0	1.0294226272788062e-07	1.1981728320791937e-06
5.0	9.109207123512697	3.0	5.0	9.567792670255046e-14	5.920376934332312e-12
6.0	12.496436093167286	1.0	1.0	1.0	1.0
6.0	12.496436093167286	1.0	2.0	1.0	1.0
6.0	12.496436093167286	1.0	3.0	1.0	1.0
6.0	12.496436093167286	1.0	4.0	1.51969179168866e-07	9.540230773966016e-07
6.0	12.496436093167286	1.0	5.0	3.198280907603382e-13	1.4278153901738222e-11
6.0	12.496436093167286	2.0	1.0	1.0	1.0
6.0	12.496436093167286	2.0	2.0	1.0	1.0
6.0	12.496436093167286	2.0	3.0	1.0	1.0
6.0	12.496436093167286	2.0	4.0	1.412645911643057e-07	1.0510042717854804e-06
6.0	12.496436093167286	2.0	5.0	2.745490811436622e-13	1.4111518947103137e-11
6.0	12.496436093167286	3.0	1.0	1.0	1.0
6.0	12.496436093167286	3.0	2.0	1.0	1.0
6.0	12.496436093167286	3.0	3.0	1.0	1.0
6.0	12.496436093167286	3.0	4.0	1.5287603136464687e-07	9.860278939566846e-07
6.0	12.496436093167286	3.0	5.0	2.758145308727037e-13	1.4051757709459386e-11
7.0	16.730472305235523	1.0	1.0	1.0	1.0
7.0	16.730472305235523	1.0	2.0	1.0	1.0
7.0	16.730472305235523	1.0	3.0	1.0	1.0
7.0	16.730472305235523	1.0	4.0	5.998213261435882e-08	1.9069516712193254e-07
7.0	16.730472305235523	1.0	5.0	6.555561033575128e-14	4.080570959290262e-12
7.0	16.730472305235523	2.0	1.0	1.0	1.0
7.0	16.730472305235523	2.0	2.0	1.0	1.0
7.0	16.730472305235523	2.0	3.0	1.0	1.0
7.0	16.730472305235523	2.0	4.0	6.08470322968813e-08	2.3235693399004106e-07
7.0	16.730472305235523	2.0	5.0	9.982378113580939e-14	4.6352520276100735e-12
7.0	16.730472305235523	3.0	1.0	1.0	1.0
7.0	16.730472305235523	3.0	2.0	1.0	1.0
7.0	16.730472305235523	3.0	3.0	1.0	1.0
7.0	16.730472305235523	3.0	4.0	6.265597084978976e-08	2.2818118004976558e-07
7.0	16.730472305235523	3.0	5.0	1.0172524078724027e-13	4.646584732179804e-12
8.0	22.02301757032082	1.0	1.0	1.0	1.0
8.0	22.02301757032082	1.0	2.0	1.0	1.0
8.0	22.02301757032082	1.0	3.0	1.0	1.0
8.0	22.02301757032082	1.0	4.0	7.948287843679531e-06	9.211697258545042e-05
8.0	22.02301757032082	1.0	5.0	1.0202822759560664e-11	6.566918386438062e-10
8.0	22.02301757032082	2.0	1.0	1.0	1.0
8.0	22.02301757032082	2.0	2.0	1.0	1.0
8.0	22.02301757032082	2.0	3.0	1.0	1.0
8.0	22.02301757032082	2.0	4.0	8.048813455245947e-06	9.401870145618763e-05
8.0	22.02301757032082	2.0	5.0	5.862453215863491e-11	6.848164658763208e-10
8.0	22.02301757032082	3.0	1.0	1.0	1.0
8.0	22.02301757032082	3.0	2.0	1.0	1.0
8.0	22.02301757032082	3.0	3.0	1.0	1.0
8.0	22.02301757032082	3.0	4.0	7.440470427486542e-06	8.722946928668761e-05
8.0	22.02301757032082	3.0	5.0	7.430210309052185e-11	6.39539590620425e-10
9.0	28.638699151677443	1.0	1.0	1.0	1.0
9.0	28.638699151677443	1.0	2.0	1.0	1.0
9.0	28.638699151677443	1.0	3.0	1.0	1.0
9.0	28.638699151677443	1.0	4.0	1.7387144458651634e-06	5.981637393375625e-06
9.0	28.638699151677443	1.0	5.0	1.0112027829522549e-12	3.079283117350066e-11
9.0	28.638699151677443	2.0	1.0	1.0	1.0
9.0	28.638699151677443	2.0	2.0	1.0	1.0
9.0	28.638699151677443	2.0	3.0	1.0	1.0
9.0	28.638699151677443	2.0	4.0	1.7275622987788083e-06	5.931925811995334e-06
9.0	28.638699151677443	2.0	5.0	8.376334039606975e-13	2.7404880387703514e-11
9.0	28.638699151677443	3.0	1.0	1.0	1.0
9.0	28.638699151677443	3.0	2.0	1.0	1.0
9.0	28.638699151677443	3.0	3.0	1.0	1.0
9.0	28.638699151677443	3.0	4.0	1.7271595753895777e-06	5.928262452161944e-06
9.0	28.638699151677443	3.0	5.0	8.393868794943179e-13	2.7427704320249955e-11
9.0	28.638699151677443	4.0	1.0	1.0	1.0
9.0	28.638699151677443	4.0	2.0	1.0	1.0
9.0	28.638699151677443	4.0	3.0	1.0	1.0
9.0	28.638699151677443	4.0	4.0	1.726777727067966e-06	5.926295221573104e-06
9.0	28.638699151677443	4.0	5.0	8.400769007421458e-13	2.7433945187882155e-11
10.0	36.908301128373225	1.0	1.0	1.0	1.0
10.0	36.908301128373225	1.0	2.0	1.0	1.0
10.0	36.908301128373225	1.0	3.0	1.0	1.0
10.0	36.908301128373225	1.0	4.0	1.1624482417785815e-07	5.6063949625663495e-06
10.0	36.908301128373225	1.0	5.0	3.416061443186058e-13	5.17800440573193e-11
10.0	36.908301128373225	2.0	1.0	1.0	1.0
10.0	36.908301128373225	2.0	2.0	1.0	1.0
10.0	36.908301128373225	2.0	3.0	1.0	1.0
10.0	36.908301128373225	2.0	4.0	1.1351708187245038e-07	5.477708615285656e-06
10.0	36.908301128373225	2.0	5.0	3.238123292417192e-13	4.982180249461772e-11
10.0	36.908301128373225	3.0	1.0	1.0	1.0
10.0	36.908301128373225	3.0	2.0	1.0	1.0
10.0	36.908301128373225	3.0	3.0	1.0	1.0
10.0	36.908301128373225	3.0	4.0	1.1358552228847104e-07	5.480993318998421e-06
10.0	36.908301128373225	3.0	5.0	3.2386207754501314e-13	4.984485109454857e-11
10.0	36.908301128373225	4.0	1.0	1.0	1.0
10.0	36.908301128373225	4.0	2.0	1.0	1.0
10.0	36.908301128373225	4.0	3.0	1.0	1.0
10.0	36.908301128373225	4.0	4.0	1.1359165772483385e-07	5.480888479556731e-06
10.0	36.908301128373225	4.0	5.0	1.9026449226690763e-13	4.418299609174398e-11
11.0	47.245303599242945	1.0	1.0	1.0	1.0
11.0	47.245303599242945	1.0	2.0	1.0	1.0
11.0	47.245303599242945	1.0	3.0	1.0	1.0
11.0	47.245303599242945	1.0	4.0	3.793115010596307e-08	1.8147766667557129e-06
11.0	47.245303599242945	1.0	5.0	7.846915852402559e-14	2.359913659542178e-11
11.0	47.245303599242945	2.0	1.0	1.0	1.0
11.0	47.245303599242945	2.0	2.0	1.0	1.0
11.0	47.245303599242945	2.0	3.0	1.0	1.0
11.0	47.245303599242945	2.0	4.0	3.705218788893707e-08	1.7814442205658867e-06
11.0	47.245303599242945	2.0	5.0	1.7461270981636357e-12	7.597827222855811e-11
11.0	47.245303599242945	3.0	1.0	1.0	1.0
11.0	47.245303599242945	3.0	2.0	1.0	1.0
11.0	47.245303599242945	3.0	3.0	1.0	1.0
11.0	47.245303599242945	3.0	4.0	3.697032370742519e-08	1.7827953429751566e-06
11.0	47.245303599242945	3.0	5.0	1.7464630241770419e-12	7.594732768330842e-11
11.0	47.245303599242945	4.0	1.0	1.0	1.0
11.0	47.245303599242945	4.0	2.0	1.0	1.0
11.0	47.245303599242945	4.0	3.0	1.0	1.0
11.0	47.245303599242945	4.0	4.0	3.6973892477483156e-08	1.7830409005912587e-06
11.0	47.245303599242945	4.0	5.0	1.75174559589882e-12	7.615802879836292e-11
12.0	58.344575487007106	1.0	1.0	1.0	1.0
12.0	58.344575487007106	1.0	2.0	1.0	1.0
12.0	58.344575487007106	1.0	3.0	1.0	1.0
12.0	58.344575487007106	1.0	4.0	6.3941491853020176e-09	1.8595848344877924e-07
12.0	58.344575487007106	1.0	5.0	2.1955702975723587e-14	1.3848856523458283e-11
12.0	58.344575487007106	2.0	1.0	1.0	1.0
12.0	58.344575487007106	2.0	2.0	1.0	1.0
12.0	58.344575487007106	2.0	3.0	1.0	1.0
12.0	58.344575487007106	2.0	4.0	7.175866573992413e-09	1.9097866877548213e-07
12.0	58.344575487007106	2.0	5.0	1.290007251903495e-14	1.0492889179706988e-11
12.0	58.344575487007106	3.0	1.0	1.0	1.0
12.0	58.344575487007106	3.0	2.0	1.0	1.0
12.0	58.344575487007106	3.0	3.0	1.0	1.0
12.0	58.344575487007106	3.0	4.0	7.1521918966156915e-09	1.8930669378248699e-07
12.0	58.344575487007106	3.0	5.0	1.3230139412032733e-14	1.0626143280152488e-11
12.0	58.344575487007106	4.0	1.0	1.0	1.0
12.0	58.344575487007106	4.0	2.0	1.0	1.0
12.0	58.344575487007106	4.0	3.0	1.0	1.0
12.0	58.344575487007106	4.0	4.0	7.14416670653864e-09	1.8903589207323251e-07
12.0	58.344575487007106	4.0	5.0	1.3315711475960378e-14	1.064482358889682e-11
12.0	58.344575487007106	5.0	1.0	1.0	1.0
12.0	58.344575487007106	5.0	2.0	1.0	1.0
12.0	58.344575487007106	5.0	3.0	1.0	1.0
12.0	58.344575487007106	5.0	4.0	7.139939529628465e-09	1.8895450942570955e-07
12.0	58.344575487007106	5.0	5.0	1.3362450204453849e-14	1.0650900995423904e-11
13.0	69.44384737477127	1.0	1.0	1.0	1.0
13.0	69.44384737477127	1.0	2.0	1.0	1.0
13.0	69.44384737477127	1.0	3.0	1.0	1.0
13.0	69.44384737477127	1.0	4.0	3.6617292714999624e-11	4.5940446551192056e-09
13.0	69.44384737477127	2.0	1.0	1.0	1.0
13.0	69.44384737477127	2.0	2.0	1.0	1.0
13.0	69.44384737477127	2.0	3.0	1.0	1.0
13.0	69.44384737477127	2.0	4.0	2.919334815641554e-11	4.5695980747651595e-09
13.0	69.44384737477127	3.0	1.0	1.0	1.0
13.0	69.44384737477127	3.0	2.0	1.0	1.0
13.0	69.44384737477127	3.0	3.0	1.0	1.0
13.0	69.44384737477127	3.0	4.0	2.915387104200347e-11	4.570837938280352e-09
13.0	69.44384737477127	4.0	1.0	1.0	1.0
13.0	69.44384737477127	4.0	2.0	1.0	1.0
13.0	69.44384737477127	4.0	3.0	1.0	1.0
13.0	69.44384737477127	4.0	4.0	2.8896786678813835e-11	4.570074043837361e-09
14.0	80.54311926253543	1.0	1.0	1.0	1.0
14.0	80.54311926253543	1.0	2.0	1.0	1.0
14.0	80.54311926253543	1.0	3.0	1.0	1.0
14.0	80.54311926253543	1.0	4.0	3.163865093355579e-11	4.082425683050892e-09
14.0	80.54311926253543	2.0	1.0	1.0	1.0
14.0	80.54311926253543	2.0	2.0	1.0	1.0
14.0	80.54311926253543	2.0	3.0	1.0	1.0
14.0	80.54311926253543	2.0	4.0	1.689362923867693e-11	3.9534505546539816e-09
14.0	80.54311926253543	3.0	1.0	1.0	1.0
14.0	80.54311926253543	3.0	2.0	1.0	1.0
14.0	80.54311926253543	3.0	3.0	1.0	1.0
14.0	80.54311926253543	3.0	4.0	1.6274557138820245e-11	3.950747615163843e-09
14.0	80.54311926253543	4.0	1.0	1.0	1.0
14.0	80.54311926253543	4.0	2.0	1.0	1.0
14.0	80.54311926253543	4.0	3.0	1.0	1.0
14.0	80.54311926253543	4.0	4.0	1.6550520161098914e-11	3.9518298293882605e-09
15.0	91.64239115029959	1.0	1.0	1.0	1.0
15.0	91.64239115029959	1.0	2.0	1.0	1.0
15.0	91.64239115029959	1.0	3.0	1.0	1.0
15.0	91.64239115029959	1.0	4.0	1.0751108959210828e-11	9.076877009953492e-10
15.0	91.64239115029959	2.0	1.0	1.0	1.0
15.0	91.64239115029959	2.0	2.0	1.0	1.0
15.0	91.64239115029959	2.0	3.0	1.0	1.0
15.0	91.64239115029959	2.0	4.0	1.3828331090383331e-11	8.971209614182674e-10
15.0	91.64239115029959	3.0	1.0	1.0	1.0
15.0	91.64239115029959	3.0	2.0	1.0	1.0
15.0	91.64239115029959	3.0	3.0	1.0	1.0
15.0	91.64239115029959	3.0	4.0	1.3309872008509633e-11	8.917987148585903e-10
16.0	102.74166303806375	1.0	1.0	1.0	1.0
16.0	102.74166303806375	1.0	2.0	1.0	1.0
16.0	102.74166303806375	1.0	3.0	1.0	1.0
16.0	102.74166303806375	1.0	4.0	1.5728324624514135e-12	1.6327235557959852e-10
16.0	102.74166303806375	2.0	1.0	1.0	1.0
16.0	102.74166303806375	2.0	2.0	1.0	1.0
16.0	102.74166303806375	2.0	3.0	1.0	1.0
16.0	102.74166303806375	2.0	4.0	2.949849366490904e-12	1.2171507260404455e-10
16.0	102.74166303806375	3.0	1.0	1.0	1.0
16.0	102.74166303806375	3.0	2.0	1.0	1.0
16.0	102.74166303806375	3.0	3.0	1.0	1.0
16.0	102.74166303806375	3.0	4.0	3.5466341635353534e-10	4.262822817047813e-09
17.0	113.84093492582791	1.0	1.0	1.0	1.0
17.0	113.84093492582791	1.0	2.0	1.0	1.0
17.0	113.84093492582791	1.0	3.0	1.0	1.0
17.0	113.84093492582791	1.0	4.0	1.0256986436868008e-12	1.4667513012131793e-10
17.0	113.84093492582791	2.0	1.0	1.0	1.0
17.0	113.84093492582791	2.0	2.0	1.0	1.0
17.0	113.84093492582791	2.0	3.0	1.0	1.0
17.0	113.84093492582791	2.0	4.0	1.0233139939722358e-12	1.4641607267992554e-10
17.0	113.84093492582791	3.0	1.0	1.0	1.0
17.0	113.84093492582791	3.0	2.0	1.0	1.0
17.0	113.84093492582791	3.0	3.0	1.0	1.0
17.0	113.84093492582791	3.0	4.0	1.0248373236651522e-12	1.4643311636306544e-10
18.0	124.94020681359207	1.0	1.0	1.0	1.0
18.0	124.94020681359207	1.0	2.0	1.0	1.0
18.0	124.94020681359207	1.0	3.0	1.0	1.0
18.0	124.94020681359207	1.0	4.0	4.95653411228933e-13	5.7452972535215314e-11
18.0	124.94020681359207	2.0	1.0	1.0	1.0
18.0	124.94020681359207	2.0	2.0	1.0	1.0
18.0	124.94020681359207	2.0	3.0	1.0	1.0
18.0	124.94020681359207	2.0	4.0	5.154243637728331e-13	5.757989531564023e-11
18.0	124.94020681359207	3.0	1.0	1.0	1.0
18.0	124.94020681359207	3.0	2.0	1.0	1.0
18.0	124.94020681359207	3.0	3.0	1.0	1.0
18.0	124.94020681359207	3.0	4.0	5.139016486711289e-13	5.741097519412834e-11
19.0	136.03947870135624	1.0	1.0	1.0	1.0
19.0	136.03947870135624	1.0	2.0	1.0	1.0
19.0	136.03947870135624	1.0	3.0	1.0	1.0
19.0	136.03947870135624	1.0	4.0	1.264627913022415e-12	7.352824022292106e-12
19.0	136.03947870135624	2.0	1.0	1.0	1.0
19.0	136.03947870135624	2.0	2.0	1.0	1.0
19.0	136.03947870135624	2.0	3.0	1.0	1.0
19.0	136.03947870135624	2.0	4.0	6.841278707100931e-13	8.68412903901421e-12
19.0	136.03947870135624	3.0	1.0	1.0	1.0
19.0	136.03947870135624	3.0	2.0	1.0	1.0
19.0	136.03947870135624	3.0	3.0	1.0	1.0
