Time step	Time[s]	Direction	Position[m]	Min	Mean	Max	Std
1.0	1.1099271887764162	0.0	6.12e-05	-3.6829128888211127	-3.6828976639186046	-3.6828835149812646	7.818101488870141e-06
1.0	1.1099271887764162	0.0	6.159999999999999e-05	-3.6829673733115698	-3.6829304325897727	-3.682894529384508	1.868983493260581e-05
1.0	1.1099271887764162	0.0	6.2e-05	-3.683025033911105	-3.6829846743750827	-3.682948652036212	1.8645415759858926e-05
1.0	1.1099271887764162	0.0	6.24e-05	-3.6830899857055295	-3.68304071462611	-3.6830035968345247	1.9925899450330012e-05
1.0	1.1099271887764162	0.0	6.28e-05	-3.6831511012936695	-3.6830966595505803	-3.6830425249474876	2.7998101523233524e-05
1.0	1.1099271887764162	0.0	6.32e-05	-3.6832212158656814	-3.683156398506439	-3.6830818497509594	3.872585349593307e-05
1.0	1.1099271887764162	0.0	6.36e-05	-3.683305536083092	-3.6832209652244536	-3.6831222120558804	5.169495225749712e-05
1.0	1.1099271887764162	0.0	6.4e-05	-3.6834084823686672	-3.683310716395517	-3.683175936370432	6.724273017572929e-05
1.0	1.1099271887764162	0.0	6.440000000000001e-05	-3.6835325698982855	-3.6833848075399285	-3.683187106821718	0.00011203048244125227
1.0	1.1099271887764162	0.0	6.479999999999999e-05	-3.6836549247131423	-3.683551632109539	-3.6833752569000473	8.303294629729435e-05
1.0	1.1099271887764162	0.0	6.52e-05	-3.6837892821102187	-3.683700241610952	-3.6835414597361376	7.283956291292813e-05
1.0	1.1099271887764162	0.0	6.560000000000001e-05	-3.6839255323051963	-3.6839010280833215	-3.683868527981972	1.936486324623352e-05
1.0	1.1099271887764162	0.0	6.599999999999999e-05	-3.684063107195798	-3.6840562281856544	-3.6840482559103926	4.430595995391475e-06
1.0	1.1099271887764162	0.0	6.64e-05	-3.684221711549272	-3.6842075162563312	-3.684197016529042	7.95704677443388e-06
1.0	1.1099271887764162	0.0	6.68e-05	-3.684397175684375	-3.684360211736679	-3.6843320691687076	2.2385406805900964e-05
1.0	1.1099271887764162	0.0	6.72e-05	-3.6847166778689946	-3.68455681239663	-3.6844647313326604	7.495592725722436e-05
1.0	1.1099271887764162	0.0	6.76e-05	-3.6848715829406493	-3.6846988338478206	-3.684593719019242	8.335286373640552e-05
1.0	1.1099271887764162	0.0	6.8e-05	-3.685038255666907	-3.684854075699216	-3.6847093436127705	0.00010696151836355997
1.0	1.1099271887764162	0.0	6.840000000000001e-05	-3.685043032815087	-3.6849197663135356	-3.684826688385475	6.357126405294099e-05
1.0	1.1099271887764162	0.0	6.879999999999999e-05	-3.6850808379933966	-3.684997493342987	-3.6849215703710883	4.585964610921265e-05
1.0	1.1099271887764162	0.0	6.92e-05	-3.6851077110361254	-3.685050034016304	-3.684996358123039	3.1733555344869215e-05
