Iteration	Time[s]	Self-consistency iteration	Left active material domain potential relative norm[%]	Left active material domain concentration relative norm[%]	Electrolyte domain potential relative norm[%]	Electrolyte domain concentration relative norm[%]	Right active material domain potential relative norm[%]	Right active material domain concentration relative norm[%]
1.0	1.1099271887764162	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.1099271887764162	2.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.1099271887764162	3.0	0.029080599757845965	0.0052739421087049255	0.01824155695317438	0.04526757231100035	0.07323411780697077	0.047084502104855167
1.0	1.1099271887764162	4.0	0.007088832114007929	0.0012856910707504442	0.0044696356203712505	0.011092714178660616	0.01790795489477488	0.01159817223266948
1.0	1.1099271887764162	5.0	0.0017362300908542298	0.0003149697796680155	0.001096100687167735	0.0027204135200177334	0.004389460429131157	0.002844284964783484
1.0	1.1099271887764162	6.0	0.0004257364686621045	7.723947358512257e-05	0.00026885452406934376	0.0006672788635002191	0.0010765301553851594	0.0006975603768317663
1.0	1.1099271887764162	7.0	0.00010442311571407551	1.894547676021388e-05	6.594862978977931e-05	0.0001636806190698293	0.00026405960872488265	0.00017109979316408177
2.0	2.4973361747469363	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2.0	2.4973361747469363	2.0	1.0	1.0	1.0	1.0	1.0	1.0
2.0	2.4973361747469363	3.0	1.681880128159991e-05	8.153300848668116e-06	1.0159956007603612e-05	3.3924788268944675e-05	4.237078489015864e-05	0.00013861737569091927
3.0	4.231597407210087	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3.0	4.231597407210087	2.0	1.0	1.0	1.0	1.0	1.0	1.0
3.0	4.231597407210087	3.0	3.379921204159459e-05	1.5423917917469686e-05	2.1398997597960488e-05	8.36063098106331e-05	8.59757373393648e-05	0.00014779880165063873
4.0	6.399423947789025	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4.0	6.399423947789025	2.0	1.0	1.0	1.0	1.0	1.0	1.0
4.0	6.399423947789025	3.0	3.5302836680702296e-05	2.1330437254348574e-05	2.2783140425821733e-05	0.00010876755919501009	9.091758138877183e-05	0.0002038469726835944
5.0	9.109207123512697	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5.0	9.109207123512697	2.0	1.0	1.0	1.0	1.0	1.0	1.0
5.0	9.109207123512697	3.0	2.916272891314141e-05	2.62959748450556e-05	1.9089836808687464e-05	0.00011223378450585032	7.619327055923568e-05	0.0002837195091815763
6.0	12.496436093167286	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6.0	12.496436093167286	2.0	1.0	1.0	1.0	1.0	1.0	1.0
6.0	12.496436093167286	3.0	1.8798356461018375e-05	3.0019640260063295e-05	1.2486025207907509e-05	9.560713880075004e-05	4.995657273421196e-05	0.0003786766561607623
7.0	16.730472305235523	1.0	1.0	1.0	1.0	1.0	1.0	1.0
7.0	16.730472305235523	2.0	1.0	1.0	1.0	1.0	1.0	1.0
7.0	16.730472305235523	3.0	3.0798769228123896e-06	3.0294538376878555e-05	4.2115237288698155e-06	6.952801258481203e-05	8.489747291402603e-06	0.0004889197408135721
8.0	22.02301757032082	1.0	1.0	1.0	1.0	1.0	1.0	1.0
8.0	22.02301757032082	2.0	1.0	1.0	1.0	1.0	1.0	1.0
8.0	22.02301757032082	3.0	1.2222300713971034e-05	3.722015593447852e-05	8.988124981044984e-06	9.48890213451336e-05	3.6895169888023576e-05	0.00048662671606557547
9.0	28.638699151677443	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9.0	28.638699151677443	2.0	1.0	1.0	1.0	1.0	1.0	1.0
9.0	28.638699151677443	3.0	7.285545195565563e-05	6.865858896129448e-05	5.540119712518455e-05	0.0006168219559695332	0.00020054769291159738	0.00022355948287952125
9.0	28.638699151677443	4.0	2.1377228895956506e-05	1.3602570026499977e-05	1.6189829532770908e-05	0.00018021996391296425	5.8026620398682165e-05	0.00013891568442479538
10.0	36.908301128373225	1.0	1.0	1.0	1.0	1.0	1.0	1.0
10.0	36.908301128373225	2.0	1.0	1.0	1.0	1.0	1.0	1.0
10.0	36.908301128373225	3.0	6.455494294054129e-05	6.98602469150562e-05	5.028959603833131e-05	0.0006555509651315174	0.00017950776021356094	0.00034290574477884603
10.0	36.908301128373225	4.0	1.940476900499161e-05	1.4071129660483306e-05	1.499554786387527e-05	0.00019569270340809037	5.377327701477353e-05	0.00015354771067250018
11.0	47.245303599242945	1.0	1.0	1.0	1.0	1.0	1.0	1.0
11.0	47.245303599242945	2.0	1.0	1.0	1.0	1.0	1.0	1.0
11.0	47.245303599242945	3.0	0.00010821547110788815	3.998953604239283e-05	8.518349096051301e-05	0.001283953562980645	0.0003116320022752707	0.001600047851058912
11.0	47.245303599242945	4.0	3.291787841410292e-05	2.449098087829582e-05	2.6011714747622567e-05	0.00039300688399251737	9.354500154738821e-05	0.00026936077319724083
12.0	58.344575487007106	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12.0	58.344575487007106	2.0	1.0	1.0	1.0	1.0	1.0	1.0
12.0	58.344575487007106	3.0	0.00015300698388892643	7.893936261944976e-05	0.00012310440270578803	0.0019325807785902894	0.0004381693400931122	0.001857357780051338
12.0	58.344575487007106	4.0	4.7815565342605014e-05	3.7772154225206245e-05	3.845256146134822e-05	0.0006061009677017392	0.0001353945577220465	0.0003355939535486299
12.0	58.344575487007106	5.0	1.4933933426514618e-05	1.2239974781567936e-05	1.200966684281477e-05	0.0001893822825234499	4.2237518763909694e-05	9.685047511027341e-05
13.0	69.44384737477127	1.0	1.0	1.0	1.0	1.0	1.0	1.0
13.0	69.44384737477127	2.0	1.0	1.0	1.0	1.0	1.0	1.0
13.0	69.44384737477127	3.0	0.00010300895103155689	5.4396049452621474e-05	8.399209219527064e-05	0.001314204834942972	0.0002919859252951574	0.001124448582409298
13.0	69.44384737477127	4.0	3.2773434774900414e-05	2.6442820815311257e-05	2.666710214884556e-05	0.00041939452467596453	9.204172887413511e-05	0.0002048660976197367
14.0	80.54311926253543	1.0	1.0	1.0	1.0	1.0	1.0	1.0
14.0	80.54311926253543	2.0	1.0	1.0	1.0	1.0	1.0	1.0
14.0	80.54311926253543	3.0	6.437998289499124e-05	3.392202268720869e-05	5.304506502990366e-05	0.0008278854258062007	0.00018028474739159768	0.0006600115936069704
14.0	80.54311926253543	4.0	2.0773839500656788e-05	1.7147148814905386e-05	1.7062130491823944e-05	0.00026791567474019685	5.778641339238269e-05	0.0001195365316398373
15.0	91.64239115029959	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15.0	91.64239115029959	2.0	1.0	1.0	1.0	1.0	1.0	1.0
15.0	91.64239115029959	3.0	3.2837515262512864e-05	1.526693316167007e-05	2.7272924651540687e-05	0.00042462853389714153	9.11187659503709e-05	0.0003370820677970994
