Time step	Mass left[mol]	Mass electrolyte[mol]	Mass right[mol]	Target mass left[mol]	Target mass electrolyte[mol]	Target mass right[mol]
21	3.786629081480726e-10	1.5053920819200666e-11	3.2889337611927894e-11	3.7866290814829354e-10	1.5053920819200565e-11	3.288933761192352e-11
22	3.7704750958061806e-10	1.5053920819200653e-11	3.450473617938272e-11	3.770475095808387e-10	1.5053920819200565e-11	3.450473617937835e-11
23	3.754321110131625e-10	1.5053920819200627e-11	3.612013474683754e-11	3.754321110133839e-10	1.5053920819200565e-11	3.6120134746833186e-11
24	3.738167124457079e-10	1.5053920819200672e-11	3.77355333142924e-11	3.7381671244592906e-10	1.5053920819200565e-11	3.773553331428802e-11
25	3.722013138782527e-10	1.5053920819200637e-11	3.9350931881747345e-11	3.7220131387847423e-10	1.5053920819200565e-11	3.9350931881742854e-11
26	3.705859153107979e-10	1.505392081920064e-11	4.096633044920213e-11	3.705859153110194e-10	1.5053920819200565e-11	4.096633044919769e-11
27	3.689705167433432e-10	1.5053920819200666e-11	4.2581729016656974e-11	3.689705167435646e-10	1.5053920819200565e-11	4.258172901665252e-11
28	3.673551181758881e-10	1.505392081920064e-11	4.4197127584111853e-11	3.6735511817610975e-10	1.5053920819200565e-11	4.4197127584107356e-11
29	3.657397196084332e-10	1.505392081920065e-11	4.581252615156674e-11	3.657397196086549e-10	1.5053920819200565e-11	4.581252615156219e-11
30	3.641243210409784e-10	1.5053920819200604e-11	4.7427924719021495e-11	3.641243210412001e-10	1.5053920819200565e-11	4.7427924719017023e-11
31	3.625089224735234e-10	1.505392081920065e-11	4.904332328647642e-11	3.6250892247374527e-10	1.5053920819200565e-11	4.904332328647186e-11
32	3.60893523906069e-10	1.505392081920063e-11	5.0658721853931286e-11	3.6089352390629044e-10	1.5053920819200565e-11	5.065872185392669e-11
33	3.592781253386141e-10	1.5053920819200643e-11	5.227412042138613e-11	3.592781253388356e-10	1.5053920819200565e-11	5.2274120421381525e-11
34	3.5766272677115926e-10	1.505392081920063e-11	5.388951898884099e-11	3.576627267713808e-10	1.5053920819200565e-11	5.388951898883636e-11
35	3.560473282037043e-10	1.5053920819200653e-11	5.5504917556295794e-11	3.5604732820392596e-10	1.5053920819200565e-11	5.550491755629119e-11
36	3.5443192963624986e-10	1.5053920819200643e-11	5.7120316123750724e-11	3.5443192963647113e-10	1.5053920819200565e-11	5.7120316123746026e-11
37	3.5281653106879493e-10	1.505392081920066e-11	5.873571469120562e-11	3.528165310690163e-10	1.5053920819200565e-11	5.873571469120086e-11
38	3.5120113250134e-10	1.505392081920063e-11	6.035111325866038e-11	3.512011325015615e-10	1.5053920819200565e-11	6.03511132586557e-11
39	3.495857339338848e-10	1.505392081920064e-11	6.196651182611519e-11	3.4958573393410665e-10	1.5053920819200565e-11	6.196651182611054e-11
40	3.4797033536643e-10	1.5053920819200633e-11	6.358191039357014e-11	3.479703353666518e-10	1.5053920819200565e-11	6.358191039356538e-11
41	3.463549367989751e-10	1.5053920819200624e-11	6.519730896102495e-11	3.46354936799197e-10	1.5053920819200565e-11	6.519730896102022e-11
42	3.447395382315204e-10	1.505392081920062e-11	6.681270752847971e-11	3.4473953823174217e-10	1.5053920819200565e-11	6.681270752847506e-11
43	3.431241396640652e-10	1.5053920819200666e-11	6.842810609593462e-11	3.4312413966428734e-10	1.5053920819200565e-11	6.84281060959299e-11
44	3.4150874109661067e-10	1.5053920819200656e-11	7.004350466338946e-11	3.415087410968325e-10	1.5053920819200565e-11	7.004350466338474e-11
45	3.3989334252915533e-10	1.5053920819200633e-11	7.165890323084434e-11	3.398933425293777e-10	1.5053920819200565e-11	7.165890323083958e-11
46	3.3827794396170066e-10	1.5053920819200653e-11	7.327430179829924e-11	3.3827794396192286e-10	1.5053920819200565e-11	7.327430179829442e-11
47	3.3666254539424593e-10	1.505392081920067e-11	7.488970036575399e-11	3.3666254539446803e-10	1.5053920819200565e-11	7.488970036574926e-11
48	3.3504714682679136e-10	1.505392081920064e-11	7.6505098933209e-11	3.350471468270132e-10	1.5053920819200565e-11	7.65050989332041e-11
49	3.3343174825933633e-10	1.505392081920065e-11	7.81204975006638e-11	3.334317482595584e-10	1.5053920819200565e-11	7.812049750065894e-11
50	3.318163496918814e-10	1.505392081920064e-11	7.973589606811866e-11	3.3181634969210355e-10	1.5053920819200565e-11	7.973589606811378e-11
51	3.302009511244266e-10	1.505392081920059e-11	8.135129463557343e-11	3.302009511246487e-10	1.5053920819200565e-11	8.135129463556862e-11
52	3.2858555255697154e-10	1.5053920819200633e-11	8.296669320302829e-11	3.285855525571939e-10	1.5053920819200565e-11	8.296669320302346e-11
53	3.269701539895167e-10	1.505392081920063e-11	8.458209177048328e-11	3.2697015398973906e-10	1.5053920819200565e-11	8.45820917704783e-11
54	3.253547554220618e-10	1.5053920819200643e-11	8.6197490337938e-11	3.2535475542228424e-10	1.5053920819200565e-11	8.619749033793314e-11
55	3.2373935685460767e-10	1.505392081920064e-11	8.781288890539294e-11	3.237393568548294e-10	1.5053920819200565e-11	8.781288890538799e-11
56	3.221239582871526e-10	1.5053920819200656e-11	8.942828747284766e-11	3.221239582873746e-10	1.5053920819200565e-11	8.942828747284283e-11
57	3.205085597196975e-10	1.5053920819200666e-11	9.104368604030254e-11	3.2050855971991976e-10	1.5053920819200565e-11	9.104368604029767e-11
58	3.188931611522429e-10	1.505392081920067e-11	9.265908460775738e-11	3.1889316115246493e-10	1.5053920819200565e-11	9.26590846077525e-11
59	3.172777625847881e-10	1.5053920819200653e-11	9.427448317521222e-11	3.172777625850101e-10	1.5053920819200565e-11	9.427448317520735e-11
60	3.1566236401733287e-10	1.5053920819200643e-11	9.588988174266724e-11	3.1566236401755527e-10	1.5053920819200565e-11	9.588988174266219e-11
61	3.1404696544987804e-10	1.5053920819200662e-11	9.750528031012208e-11	3.1404696545010045e-10	1.5053920819200565e-11	9.750528031011703e-11
62	3.124315668824231e-10	1.505392081920067e-11	9.912067887757691e-11	3.124315668826456e-10	1.5053920819200565e-11	9.912067887757187e-11
63	3.108161683149682e-10	1.5053920819200675e-11	1.0073607744503175e-10	3.108161683151908e-10	1.5053920819200565e-11	1.0073607744502671e-10
64	3.092007697475137e-10	1.5053920819200604e-11	1.0235147601248659e-10	3.0920076974773596e-10	1.5053920819200565e-11	1.0235147601248155e-10
65	3.0758537118005857e-10	1.5053920819200637e-11	1.0396687457994144e-10	3.0758537118028114e-10	1.5053920819200565e-11	1.0396687457993639e-10
66	3.059699726126041e-10	1.5053920819200637e-11	1.0558227314739633e-10	3.059699726128263e-10	1.5053920819200565e-11	1.0558227314739123e-10
67	3.0435457404514876e-10	1.505392081920064e-11	1.0719767171485111e-10	3.043545740453715e-10	1.5053920819200565e-11	1.0719767171484607e-10
68	3.0273917547769445e-10	1.505392081920063e-11	1.0881307028230601e-10	3.0273917547791665e-10	1.5053920819200565e-11	1.0881307028230091e-10
69	3.0112377691023937e-10	1.5053920819200656e-11	1.1042846884976069e-10	3.0112377691046183e-10	1.5053920819200565e-11	1.1042846884975575e-10
70	2.995083783427848e-10	1.505392081920067e-11	1.120438674172157e-10	2.99508378343007e-10	1.5053920819200565e-11	1.1204386741721059e-10
71	2.9789297977532945e-10	1.505392081920065e-11	1.1365926598467044e-10	2.9789297977555217e-10	1.5053920819200565e-11	1.1365926598466543e-10
72	2.962775812078743e-10	1.505392081920064e-11	1.1527466455212528e-10	2.9627758120809735e-10	1.5053920819200565e-11	1.1527466455212027e-10
73	2.946621826404198e-10	1.5053920819200656e-11	1.1689006311958016e-10	2.946621826406425e-10	1.5053920819200565e-11	1.168900631195751e-10
74	2.9304678407296533e-10	1.505392081920066e-11	1.1850546168703522e-10	2.930467840731877e-10	1.5053920819200565e-11	1.1850546168702992e-10
75	2.9143138550551025e-10	1.505392081920064e-11	1.2012086025449003e-10	2.9143138550573286e-10	1.5053920819200565e-11	1.2012086025448475e-10
76	2.898159869380555e-10	1.505392081920064e-11	1.2173625882194485e-10	2.8981598693827804e-10	1.5053920819200565e-11	1.2173625882193958e-10
77	2.8820058837060023e-10	1.505392081920064e-11	1.2335165738939963e-10	2.882005883708232e-10	1.5053920819200565e-11	1.233516573893944e-10
78	2.865851898031459e-10	1.5053920819200662e-11	1.2496705595685446e-10	2.865851898033684e-10	1.5053920819200565e-11	1.2496705595684923e-10
79	2.8496979123569094e-10	1.5053920819200656e-11	1.265824545243094e-10	2.8496979123591355e-10	1.5053920819200565e-11	1.2658245452430406e-10
80	2.8335439266823585e-10	1.505392081920064e-11	1.2819785309176432e-10	2.8335439266845873e-10	1.5053920819200565e-11	1.281978530917589e-10
81	2.817389941007807e-10	1.505392081920063e-11	1.2981325165921912e-10	2.817389941010039e-10	1.5053920819200565e-11	1.2981325165921372e-10
82	2.8012359553332635e-10	1.505392081920066e-11	1.3142865022667402e-10	2.8012359553354907e-10	1.5053920819200565e-11	1.3142865022666854e-10
83	2.7850819696587147e-10	1.5053920819200627e-11	1.3304404879412883e-10	2.7850819696609424e-10	1.5053920819200565e-11	1.3304404879412337e-10
84	2.768927983984164e-10	1.5053920819200666e-11	1.346594473615836e-10	2.768927983986394e-10	1.5053920819200565e-11	1.346594473615782e-10
85	2.7527739983096177e-10	1.505392081920062e-11	1.362748459290385e-10	2.752773998311846e-10	1.5053920819200565e-11	1.3627484592903303e-10
86	2.7366200126350663e-10	1.5053920819200653e-11	1.3789024449649313e-10	2.7366200126372976e-10	1.5053920819200565e-11	1.3789024449648785e-10
87	2.720466026960517e-10	1.505392081920063e-11	1.3950564306394816e-10	2.7204660269627493e-10	1.5053920819200565e-11	1.3950564306394268e-10
88	2.7043120412859723e-10	1.5053920819200666e-11	1.4112104163140296e-10	2.704312041288201e-10	1.5053920819200565e-11	1.411210416313975e-10
89	2.688158055611425e-10	1.5053920819200675e-11	1.4273644019885815e-10	2.688158055613653e-10	1.5053920819200565e-11	1.4273644019885234e-10
90	2.6720040699368737e-10	1.5053920819200633e-11	1.4435183876631272e-10	2.6720040699391045e-10	1.5053920819200565e-11	1.4435183876630716e-10
91	2.655850084262326e-10	1.5053920819200643e-11	1.4596723733376742e-10	2.655850084264556e-10	1.5053920819200565e-11	1.45967237333762e-10
92	2.6396960985877777e-10	1.505392081920064e-11	1.4758263590122253e-10	2.639696098590008e-10	1.5053920819200565e-11	1.4758263590121682e-10
93	2.62354211291323e-10	1.5053920819200637e-11	1.4919803446867723e-10	2.6235421129154597e-10	1.5053920819200565e-11	1.4919803446867164e-10
94	2.6073881272386806e-10	1.5053920819200653e-11	1.508134330361323e-10	2.6073881272409114e-10	1.5053920819200565e-11	1.5081343303612647e-10
95	2.591234141564131e-10	1.505392081920062e-11	1.524288316035871e-10	2.591234141566363e-10	1.5053920819200565e-11	1.524288316035813e-10
96	2.5750801558895815e-10	1.5053920819200643e-11	1.5404423017104205e-10	2.575080155891815e-10	1.5053920819200565e-11	1.5404423017103613e-10
97	2.5589261702150353e-10	1.505392081920065e-11	1.5565962873849682e-10	2.5589261702172666e-10	1.5053920819200565e-11	1.5565962873849095e-10
98	2.5427721845404886e-10	1.5053920819200656e-11	1.572750273059516e-10	2.5427721845427183e-10	1.5053920819200565e-11	1.5727502730594578e-10
99	2.52661819886594e-10	1.505392081920064e-11	1.5889042587340658e-10	2.52661819886817e-10	1.5053920819200565e-11	1.588904258734006e-10
100	2.51046421319139e-10	1.5053920819200666e-11	1.6050582444086115e-10	2.510464213193622e-10	1.5053920819200565e-11	1.6050582444085544e-10
101	2.494310227516839e-10	1.505392081920062e-11	1.6212122300831608e-10	2.4943102275190735e-10	1.5053920819200565e-11	1.6212122300831026e-10
102	2.478156241842291e-10	1.505392081920066e-11	1.6373662157577104e-10	2.478156241844525e-10	1.5053920819200565e-11	1.637366215757651e-10
103	2.4620022561677425e-10	1.5053920819200633e-11	1.6535202014322566e-10	2.462002256169977e-10	1.5053920819200565e-11	1.6535202014321992e-10
104	2.4458482704931963e-10	1.5053920819200627e-11	1.669674187106807e-10	2.4458482704954287e-10	1.5053920819200565e-11	1.6696741871067475e-10
105	2.429694284818649e-10	1.505392081920063e-11	1.6858281727813547e-10	2.4296942848208804e-10	1.5053920819200565e-11	1.6858281727812957e-10
106	2.4135402991440936e-10	1.5053920819200637e-11	1.7019821584559045e-10	2.413540299146332e-10	1.5053920819200565e-11	1.701982158455844e-10
107	2.3973863134695474e-10	1.505392081920065e-11	1.7181361441304533e-10	2.397386313471784e-10	1.5053920819200565e-11	1.7181361441303923e-10
108	2.381232327794998e-10	1.505392081920066e-11	1.7342901298050013e-10	2.3812323277972356e-10	1.5053920819200565e-11	1.7342901298049405e-10
109	2.3650783421204524e-10	1.505392081920064e-11	1.750444115479548e-10	2.3650783421226873e-10	1.5053920819200565e-11	1.7504441154794888e-10
110	2.3489243564459015e-10	1.505392081920062e-11	1.7665981011541e-10	2.348924356448139e-10	1.5053920819200565e-11	1.766598101154037e-10
111	2.332770370771355e-10	1.505392081920064e-11	1.7827520868286453e-10	2.332770370773591e-10	1.5053920819200565e-11	1.7827520868285854e-10
112	2.3166163850968042e-10	1.505392081920067e-11	1.7989060725031952e-10	2.3166163850990425e-10	1.5053920819200565e-11	1.7989060725031336e-10
113	2.300462399422259e-10	1.505392081920066e-11	1.8150600581777427e-10	2.3004623994244942e-10	1.5053920819200565e-11	1.815060058177682e-10
114	2.284308413747711e-10	1.5053920819200656e-11	1.8312140438522915e-10	2.284308413749946e-10	1.5053920819200565e-11	1.8312140438522302e-10
115	2.2681544280731622e-10	1.505392081920064e-11	1.8473680295268415e-10	2.2681544280753977e-10	1.5053920819200565e-11	1.8473680295267785e-10
116	2.252000442398611e-10	1.505392081920065e-11	1.8635220152013896e-10	2.2520004424008494e-10	1.5053920819200565e-11	1.8635220152013267e-10
117	2.2358464567240613e-10	1.5053920819200637e-11	1.8796760008759386e-10	2.2358464567263011e-10	1.5053920819200565e-11	1.879676000875875e-10
118	2.2196924710495128e-10	1.505392081920064e-11	1.8958299865504858e-10	2.2196924710517529e-10	1.5053920819200565e-11	1.8958299865504233e-10
119	2.2035384853749632e-10	1.5053920819200646e-11	1.9119839722250326e-10	2.2035384853772046e-10	1.5053920819200565e-11	1.9119839722249716e-10
120	2.1873844997004183e-10	1.505392081920063e-11	1.9281379578995821e-10	2.1873844997026563e-10	1.5053920819200565e-11	1.9281379578995198e-10
121	2.1712305140258708e-10	1.505392081920064e-11	1.9442919435741327e-10	2.171230514028108e-10	1.5053920819200565e-11	1.944291943574068e-10
122	2.1550765283513212e-10	1.505392081920063e-11	1.96044592924868e-10	2.1550765283535598e-10	1.5053920819200565e-11	1.9604459292486164e-10
123	2.1389225426767711e-10	1.5053920819200653e-11	1.9765999149232277e-10	2.1389225426790115e-10	1.5053920819200565e-11	1.9765999149231647e-10
124	2.1259993541371334e-10	1.5053920819200633e-11	1.9895231034628686e-10	2.1259993541393727e-10	1.5053920819200565e-11	1.9895231034628034e-10
125	2.1156608033054226e-10	1.505392081920064e-11	1.9998616542945806e-10	2.1156608033076617e-10	1.5053920819200565e-11	1.9998616542945144e-10
126	2.1073899626400522e-10	1.5053920819200656e-11	2.0081324949599485e-10	2.107389962642293e-10	1.5053920819200565e-11	2.008132494959883e-10
127	2.1007732901077572e-10	1.5053920819200653e-11	2.0147491674922434e-10	2.100773290109998e-10	1.5053920819200565e-11	2.014749167492178e-10
128	2.0954799520819231e-10	1.5053920819200633e-11	2.020042505518079e-10	2.0954799520841622e-10	1.5053920819200565e-11	2.020042505518014e-10
129	2.091245281661254e-10	1.5053920819200637e-11	2.0242771759387508e-10	2.0912452816634933e-10	1.5053920819200565e-11	2.0242771759386828e-10
130	2.0872067852426187e-10	1.505392081920065e-11	2.0283156723573856e-10	2.0872067852448562e-10	1.5053920819200565e-11	2.02831567235732e-10
131	2.083168288823979e-10	1.5053920819200662e-11	2.032354168776022e-10	2.0831682888262192e-10	1.5053920819200565e-11	2.032354168775957e-10
132	2.0791297924053417e-10	1.5053920819200637e-11	2.0363926651946597e-10	2.079129792407582e-10	1.5053920819200565e-11	2.036392665194594e-10
133	2.075091295986709e-10	1.5053920819200646e-11	2.040431161613296e-10	2.075091295988945e-10	1.5053920819200565e-11	2.040431161613231e-10
134	2.0710527995680676e-10	1.5053920819200662e-11	2.0444696580319338e-10	2.071052799570308e-10	1.5053920819200565e-11	2.0444696580318682e-10
135	2.067014303149428e-10	1.5053920819200653e-11	2.0485081544505701e-10	2.067014303151671e-10	1.5053920819200565e-11	2.0485081544505053e-10
136	2.0629758067307898e-10	1.505392081920063e-11	2.052546650869208e-10	2.0629758067330338e-10	1.5053920819200565e-11	2.0525466508691423e-10
137	2.0589373103121574e-10	1.5053920819200643e-11	2.0565851472878443e-10	2.0589373103143968e-10	1.5053920819200565e-11	2.0565851472877794e-10
138	2.0548988138935183e-10	1.505392081920065e-11	2.0606236437064824e-10	2.0548988138957597e-10	1.5053920819200565e-11	2.0606236437064165e-10
139	2.050860317474881e-10	1.505392081920064e-11	2.0646621401251176e-10	2.0508603174771226e-10	1.5053920819200565e-11	2.0646621401250535e-10
140	2.0468218210562454e-10	1.5053920819200662e-11	2.0687006365437565e-10	2.0468218210584856e-10	1.5053920819200565e-11	2.0687006365436906e-10
141	2.0427833246376045e-10	1.5053920819200627e-11	2.0727391329623954e-10	2.0427833246398485e-10	1.5053920819200565e-11	2.0727391329623277e-10
142	2.0387448282189703e-10	1.505392081920064e-11	2.076777629381028e-10	2.0387448282212114e-10	1.5053920819200565e-11	2.0767776293809647e-10
143	2.0347063318003324e-10	1.5053920819200643e-11	2.0808161257996664e-10	2.0347063318025743e-10	1.5053920819200565e-11	2.0808161257996018e-10
144	2.030667835381696e-10	1.505392081920064e-11	2.0848546222183035e-10	2.0306678353839373e-10	1.5053920819200565e-11	2.084854622218239e-10
145	2.0266293389630593e-10	1.5053920819200675e-11	2.088893118636943e-10	2.0266293389653002e-10	1.5053920819200565e-11	2.088893118636876e-10
146	2.0225908425444225e-10	1.5053920819200656e-11	2.0929316150555781e-10	2.0225908425466631e-10	1.5053920819200565e-11	2.092931615055513e-10
147	2.0185523461257847e-10	1.5053920819200675e-11	2.096970111474215e-10	2.018552346128026e-10	1.5053920819200565e-11	2.09697011147415e-10
148	2.0145138497071448e-10	1.505392081920063e-11	2.1010086078928528e-10	2.014513849709389e-10	1.5053920819200565e-11	2.1010086078927871e-10
149	2.0104753532885082e-10	1.5053920819200662e-11	2.1050471043114899e-10	2.010475353290752e-10	1.5053920819200565e-11	2.1050471043114242e-10
150	2.0064368568698742e-10	1.5053920819200675e-11	2.1090856007301275e-10	2.0064368568721149e-10	1.5053920819200565e-11	2.1090856007300613e-10
151	2.0023983604512361e-10	1.5053920819200662e-11	2.1131240971487645e-10	2.0023983604534778e-10	1.5053920819200565e-11	2.1131240971486984e-10
152	1.9983598640325986e-10	1.505392081920064e-11	2.1171625935674008e-10	1.9983598640348407e-10	1.5053920819200565e-11	2.1171625935673354e-10
153	1.9943213676139612e-10	1.5053920819200633e-11	2.1212010899860353e-10	1.9943213676162037e-10	1.5053920819200565e-11	2.1212010899859725e-10
154	1.9902828711953262e-10	1.505392081920064e-11	2.125239586404675e-10	1.9902828711975666e-10	1.5053920819200565e-11	2.1252395864046096e-10
155	1.986244374776687e-10	1.505392081920063e-11	2.1292780828233133e-10	1.9862443747789295e-10	1.5053920819200565e-11	2.1292780828232466e-10
156	1.9822058783580503e-10	1.5053920819200656e-11	2.1333165792419486e-10	1.9822058783602925e-10	1.5053920819200565e-11	2.1333165792418837e-10
157	1.978167381939411e-10	1.505392081920063e-11	2.1373550756605887e-10	1.9781673819416554e-10	1.5053920819200565e-11	2.1373550756605208e-10
158	1.9741288855207761e-10	1.505392081920064e-11	2.1413935720792237e-10	1.9741288855230183e-10	1.5053920819200565e-11	2.1413935720791578e-10
159	1.9700903891021396e-10	1.5053920819200624e-11	2.1454320684978608e-10	1.9700903891043813e-10	1.5053920819200565e-11	2.145432068497795e-10
160	1.9660518926835e-10	1.505392081920063e-11	2.149470564916498e-10	1.9660518926857442e-10	1.5053920819200565e-11	2.149470564916432e-10
161	1.9620133962648652e-10	1.5053920819200624e-11	2.153509061335137e-10	1.962013396267107e-10	1.5053920819200565e-11	2.153509061335069e-10
162	1.9579748998462286e-10	1.505392081920067e-11	2.1575475577537746e-10	1.95797489984847e-10	1.5053920819200565e-11	2.157547557753706e-10
163	1.9539364034275913e-10	1.5053920819200633e-11	2.1615860541724122e-10	1.953936403429833e-10	1.5053920819200565e-11	2.1615860541723432e-10
164	1.9498979070089524e-10	1.5053920819200675e-11	2.165624550591049e-10	1.949897907011196e-10	1.5053920819200565e-11	2.1656245505909802e-10
165	1.945859410590316e-10	1.5053920819200656e-11	2.1696630470096848e-10	1.9458594105925588e-10	1.5053920819200565e-11	2.1696630470096173e-10
166	1.9418209141716811e-10	1.5053920819200646e-11	2.173701543428322e-10	1.9418209141739218e-10	1.5053920819200565e-11	2.1737015434282544e-10
167	1.9377824177530412e-10	1.5053920819200653e-11	2.177740039846958e-10	1.9377824177552847e-10	1.5053920819200565e-11	2.1777400398468914e-10
168	1.933743921334407e-10	1.5053920819200604e-11	2.181778536265594e-10	1.9337439213366476e-10	1.5053920819200565e-11	2.1817785362655285e-10
169	1.9297054249157645e-10	1.505392081920064e-11	2.185817032684233e-10	1.9297054249180106e-10	1.5053920819200565e-11	2.1858170326841656e-10
170	1.9256669284971305e-10	1.5053920819200637e-11	2.189855529102868e-10	1.9256669284993735e-10	1.5053920819200565e-11	2.1898555291028026e-10
