Time step	Mass left[mol]	Mass electrolyte[mol]	Mass right[mol]	Target mass left[mol]	Target mass electrolyte[mol]	Target mass right[mol]
0	4.016930201602208e-10	1.5053920819200565e-11	9.859225599996119e-12	4.016930201602208e-10	1.5053920819200565e-11	9.859225599996119e-12
1	4.0153148030325427e-10	1.505392081920063e-11	1.0020765456745486e-11	4.0153148030347533e-10	1.5053920819200565e-11	1.0020765456741602e-11
2	4.0132955548232274e-10	1.5053920819200637e-11	1.022269027767734e-11	4.013295554825435e-10	1.5053920819200565e-11	1.0222690277673457e-11
3	4.0107714945615775e-10	1.5053920819200633e-11	1.0475096303842443e-11	4.0107714945637865e-10	1.5053920819200565e-11	1.0475096303838275e-11
4	4.007616419234515e-10	1.505392081920065e-11	1.0790603836548442e-11	4.0076164192367266e-10	1.5053920819200565e-11	1.0790603836544299e-11
5	4.0036725750756914e-10	1.505392081920065e-11	1.1184988252430973e-11	4.0036725750779015e-10	1.5053920819200565e-11	1.1184988252426826e-11
6	3.99874276987717e-10	1.505392081920061e-11	1.167796877228415e-11	3.99874276987937e-10	1.5053920819200565e-11	1.1677968772279986e-11
7	3.992580513378991e-10	1.5053920819200624e-11	1.2294194422100589e-11	3.9925805133812054e-10	1.5053920819200565e-11	1.2294194422096437e-11
8	3.9848776927562897e-10	1.5053920819200627e-11	1.3064476484371161e-11	3.9848776927585e-10	1.5053920819200565e-11	1.3064476484367001e-11
9	3.975249166977904e-10	1.5053920819200662e-11	1.4027329062209386e-11	3.9752491669801177e-10	1.5053920819200565e-11	1.4027329062205205e-11
10	3.9632135097549254e-10	1.505392081920062e-11	1.5230894784507125e-11	3.96321350975714e-10	1.5053920819200565e-11	1.523089478450296e-11
11	3.948168938226206e-10	1.5053920819200627e-11	1.673535193737936e-11	3.948168938228418e-10	1.5053920819200565e-11	1.6735351937375155e-11
12	3.932014952551662e-10	1.505392081920065e-11	1.8350750504834212e-11	3.93201495255387e-10	1.5053920819200565e-11	1.8350750504829992e-11
13	3.9158609668771125e-10	1.5053920819200646e-11	1.9966149072289062e-11	3.9158609668793216e-10	1.5053920819200565e-11	1.996614907228483e-11
14	3.899706981202564e-10	1.5053920819200662e-11	2.1581547639743896e-11	3.8997069812047733e-10	1.5053920819200565e-11	2.1581547639739666e-11
15	3.8835529955280113e-10	1.5053920819200656e-11	2.319694620719876e-11	3.883552995530225e-10	1.5053920819200565e-11	2.3196946207194503e-11
16	3.867399009853465e-10	1.5053920819200675e-11	2.4812344774653612e-11	3.867399009855677e-10	1.5053920819200565e-11	2.481234477464934e-11
17	3.8512450241789194e-10	1.5053920819200675e-11	2.6427743342108462e-11	3.8512450241811285e-10	1.5053920819200565e-11	2.6427743342104177e-11
18	3.835091038504363e-10	1.5053920819200637e-11	2.804314190956335e-11	3.83509103850658e-10	1.5053920819200565e-11	2.8043141909559014e-11
19	3.818937052829818e-10	1.505392081920062e-11	2.9658540477018175e-11	3.818937052832032e-10	1.5053920819200565e-11	2.965854047701385e-11
20	3.802783067155269e-10	1.5053920819200653e-11	3.1273939044473067e-11	3.8027830671574837e-10	1.5053920819200565e-11	3.1273939044468685e-11
