Iteration	Time[s]	Step time[s]	CPU time (all solves)[s]	CPU time (all solves) x core[s]	CPU time (all solves) x core and per dof[s]	CPU time(problem)[s]	CPU time(problem) x core[s]	CPU time(problem) x core and per dof[s]	CPU time(problem+post-p.)[s]	CPU time(problem+post-p.) x core[s]	CPU time(problem+post-p.) x core and per dof[s]
1	1.1099271887764162	1.1099271887764162	55.164324045181274	1985.9156656265259	0.0014573688060123976	71.41648697853088	2570.993531227112	0.0018867295513719455	75.7329318523407	2726.385546684265	0.0020007643414440635
2	2.4973361747469363	1.38740898597052	27.814833402633667	1001.334002494812	0.0007348312745068601	34.24412298202515	1232.7884273529053	0.0009046846397026616	35.646048069000244	1283.2577304840088	0.0009417216545757224
3	4.231597407210087	1.7342612324631501	26.645081281661987	959.2229261398315	0.0007039279636917993	32.58891487121582	1173.2009353637695	0.0008609562208394754	33.994812965393066	1223.8132667541504	0.0008980981973315298
4	6.399423947789025	2.167826540578938	25.886813640594482	931.9252910614014	0.0006838955310312396	31.851766109466553	1146.663579940796	0.0008414817211631235	33.26071214675903	1197.3856372833252	0.0008787042202990339
5	9.109207123512697	2.7097831757236723	27.484900951385498	989.4564342498779	0.0007261148935693094	34.17057991027832	1230.1408767700195	0.0009027417285818007	37.16676902770996	1338.0036849975586	0.000981897099960635
6	12.496436093167286	3.3872289696545903	28.313907146453857	1019.3006572723389	0.00074801614568461	35.01007890701294	1260.3628406524658	0.0009249201867011766	36.425232887268066	1311.3083839416504	0.0009623066915161172
7	16.730472305235523	4.234036212068238	28.489811897277832	1025.633228302002	0.0007526633175863318	35.19127607345581	1266.8859386444092	0.0009297071772549881	38.20341110229492	1375.3227996826172	0.001009283818617112
8	22.02301757032082	5.292545265085298	28.965359449386597	1042.7529401779175	0.0007652266577561713	35.933708906173706	1293.6135206222534	0.000949321275128757	37.358285903930664	1344.898292541504	0.000986956723658741
9	28.638699151677443	6.615681581356623	37.068957805633545	1334.4824810028076	0.0009793130562621142	46.21746611595154	1663.8287801742554	0.0012210045999141799	49.26949095726013	1773.7016744613647	0.0013016350775985452
10	36.908301128373225	8.269601976695778	37.154608488082886	1337.565905570984	0.0009815758345155575	46.5082790851593	1674.2980470657349	0.0012286874956451259	49.54947805404663	1783.7812099456787	0.0013090319680346251
