Time step	Time[s]	Position[m]	Min	Mean	Max	Std
1.0	1.1099271887764162	0.0	-3.3795205954513454	-3.3795045035095326	-3.3794960429304215	7.605030534606644e-06
1.0	1.1099271887764162	4e-07	-3.379520595907677	-3.3795045035037607	-3.3794960424555858	7.606806386594158e-06
1.0	1.1099271887764162	8e-07	-3.3795205992164132	-3.3795045135191017	-3.3794960545123303	7.610352193444021e-06
1.0	1.1099271887764162	1.2000000000000002e-06	-3.37952060385538	-3.379504511147168	-3.379496051869545	7.618431054430552e-06
1.0	1.1099271887764162	1.6e-06	-3.3795206075029363	-3.379504516963931	-3.379496052386683	7.635288691431748e-06
1.0	1.1099271887764162	2e-06	-3.3795206084234035	-3.379504522608307	-3.379496052288663	7.65529550235342e-06
1.0	1.1099271887764162	2.4000000000000003e-06	-3.3795206135481237	-3.37950453698959	-3.379496058917934	7.678796216193966e-06
1.0	1.1099271887764162	2.8000000000000003e-06	-3.3795206150899997	-3.3795045511638047	-3.379496059435329	7.712649703120386e-06
1.0	1.1099271887764162	3.2e-06	-3.3795206202331283	-3.379504563156048	-3.3794960675389243	7.747201132104473e-06
1.0	1.1099271887764162	3.6e-06	-3.379520633845657	-3.379504575855478	-3.3794960755626313	7.780418127117909e-06
1.0	1.1099271887764162	4e-06	-3.379520655179397	-3.3795046080963904	-3.379496086492579	7.828575570980139e-06
1.0	1.1099271887764162	4.4e-06	-3.379520676735911	-3.3795046620969877	-3.3794960990764182	7.89123535978608e-06
1.0	1.1099271887764162	4.800000000000001e-06	-3.379520690890131	-3.379504776438696	-3.37949612496827	7.999018491502711e-06
1.0	1.1099271887764162	5.2e-06	-3.37952069607748	-3.379504656382969	-3.379496076802465	7.903600040873629e-06
1.0	1.1099271887764162	5.600000000000001e-06	-3.37952069800833	-3.379504600214687	-3.3794960597524724	7.846217586835264e-06
1.0	1.1099271887764162	6e-06	-3.3795206952670496	-3.3795045664236687	-3.3794960454287155	7.801631020666523e-06
1.0	1.1099271887764162	6.4e-06	-3.3795206935132454	-3.379504552715024	-3.3794960374151906	7.770971920781849e-06
1.0	1.1099271887764162	6.8e-06	-3.3795206953672645	-3.3795045398867924	-3.3794960286234246	7.738478281168713e-06
1.0	1.1099271887764162	7.2e-06	-3.3795206978881636	-3.379504525107078	-3.3794960271107417	7.70621242626166e-06
1.0	1.1099271887764162	7.6e-06	-3.3795206955180532	-3.379504510339611	-3.379496020536852	7.684121770546244e-06
1.0	1.1099271887764162	8e-06	-3.3795206959202004	-3.379504504256252	-3.3794960209399982	7.665405339621758e-06
1.0	1.1099271887764162	8.4e-06	-3.3795206940419362	-3.379504497876719	-3.379496020536852	7.649762243714207e-06
1.0	1.1099271887764162	8.8e-06	-3.3795206913816265	-3.3795045000317567	-3.3794960234865563	7.643117541797204e-06
