Iteration	Time[s]	CPU time from beginning(all solves)[s]	CPU time from beginning(all solves) x core[s]	CPU time from beginning(all solves) x core and per dof[s]	CPU time from beginning(problem)[s]	CPU time from beginning(problem) x core[s]	CPU time from beginning(problem) x core and per dof[s]	CPU time from beginning(problem+post-p.)[s]	CPU time from beginning(problem+post-p.) x core[s]	CPU time from beginning(problem+post-p.) x core and per dof[s]
1	1.1099271887764162	55.164324045181274	1985.9156656265259	0.0014573688060123976	71.41648697853088	2570.993531227112	0.0018867295513719455	75.7329318523407	2726.385546684265	0.0020007643414440635
2	2.4973361747469363	82.97915744781494	2987.249668121338	0.0021922000805192575	105.66060996055603	3803.781958580017	0.002791414191074607	111.37897992134094	4009.643277168274	0.002942485996019786
3	4.231597407210087	109.62423872947693	3946.4725942611694	0.002896128044211057	138.24952483177185	4976.982893943787	0.0036523704119140825	145.373792886734	5233.456543922424	0.003840584193351316
4	6.399423947789025	135.5110523700714	4878.397885322571	0.0035800235752422964	170.1012909412384	6123.6464738845825	0.004493852133077206	178.63450503349304	6430.8421812057495	0.0047192884136503495
5	9.109207123512697	162.9959533214569	5867.854319572449	0.004306138468811606	204.27187085151672	7353.787350654602	0.005396593861659007	215.801274061203	7768.845866203308	0.005701185513610985
6	12.496436093167286	191.30986046791077	6887.154976844788	0.005054154614496216	239.28194975852966	8614.150191307068	0.006321514048360183	252.22650694847107	9080.154250144958	0.006663492205127102
7	16.730472305235523	219.7996723651886	7912.78820514679	0.005806817932082548	274.4732258319855	9881.036129951477	0.007251221225615172	290.429918050766	10455.477049827576	0.007672776023744214
8	22.02301757032082	248.7650318145752	8955.541145324707	0.0065720445898387195	310.4069347381592	11174.64965057373	0.008200542500743929	327.78820395469666	11800.37534236908	0.008659732747402955
9	28.638699151677443	285.83398962020874	10290.023626327515	0.007551357646100833	356.6244008541107	12838.478430747986	0.00942154710065811	377.0576949119568	13574.077016830444	0.0099613678250015
10	36.908301128373225	322.9885981082916	11627.589531898499	0.008532933480616392	403.13267993927	14512.77647781372	0.010650234596303234	426.6071729660034	15357.858226776123	0.011270399793036125
11	47.245303599242945	359.12117552757263	12928.362318992615	0.009487508600009844	448.4644629955292	16144.72066783905	0.01184784061596558	474.9860289096832	17099.497040748596	0.012548505466281392
12	58.344575487007106	404.5574893951416	14564.069618225098	0.010687876186070528	505.52976512908936	18199.071544647217	0.01335543076004146	535.0630829334259	19262.270985603333	0.014135662129700568
13	69.44384737477127	439.51730370521545	15822.622933387756	0.01161146844830433	548.7049150466919	19753.37694168091	0.014496061371834828	581.2732288837433	20925.83623981476	0.015356473340477208
14	80.54311926253543	473.5595576763153	17048.14407634735	0.01251081997454072	590.9905500411987	21275.659801483154	0.015613192170590689	626.6298940181732	22558.676184654236	0.016554736711882415
15	91.64239115029959	499.95939207077026	17998.53811454773	0.013208268838390845	623.408597946167	22442.70952606201	0.016469634311163665	662.1227951049805	23836.420623779297	0.01749241242483833
16	102.74166303806375	526.5652928352356	18956.35054206848	0.013911161704407577	656.0391609668732	23617.409794807434	0.017331690821274257	697.854816198349	25122.773383140564	0.018436405373516564
17	113.84093492582791	555.2974495887756	19990.708185195923	0.014670227453999145	690.7957639694214	24868.64750289917	0.018249914508333017	735.5958881378174	26481.451972961426	0.019433474800217093
18	124.94020681359207	585.4315574169159	21075.536067008972	0.015466330905022611	726.9927079677582	26171.737486839294	0.01920619010799319	774.8463401794434	27894.46824645996	0.020470420061805012
19	136.03947870135624	614.4688258171082	22120.877729415894	0.016233457302576037	762.0635681152344	27434.288452148438	0.02013271605503631	812.9819142818451	29267.348914146423	0.021477911716206412
20	147.1387505891204	643.9756467342377	23183.123282432556	0.017012988659363775	797.7868430614471	28720.326350212097	0.021076477942022803	851.7907481193542	30664.466932296753	0.022503190006323424
21	158.23802247688457	671.9811174869537	24191.320229530334	0.017752856321646245	831.8295719623566	29945.864590644836	0.02197584201527942	890.5020341873169	32058.07323074341	0.023525891212810866
22	169.33729436464873	699.4769475460052	25181.17011165619	0.018479259947849658	865.3697199821472	31153.3099193573	0.02286192856340873	927.0267231464386	33372.96203327179	0.024490825402790833
