Time step	Memory baseline[Gb]	Peak memory left[Gb]	Peak memory electrolyte[Gb]	Peak memory right[Gb]
0	0	0	0	0
1	16.29053515625	0	0	0
2	17.24785546875	0	0	0
3	17.43141015625	0	0	0
4	17.58444140625	0	0	0
5	17.72017578125	0	0	0
6	17.92483984375	0	0	0
7	18.03947265625	0	0	0
8	18.195367187500004	0	0	0
9	18.3213046875	0	0	0
10	18.4730078125	0	0	0
11	18.663121093750004	0	0	0
12	18.930140625	0	0	0
13	19.17216015625	0	0	0
14	19.25319921875	0	0	0
15	19.39972265625	0	0	0
16	19.49323828125	0	0	0
17	19.64844140625	0	0	0
18	19.782960937500004	0	0	0
19	19.93210546875	0	0	0
20	20.007867187499997	0	0	0
21	20.105246093749997	0	0	0
22	20.221496093749998	0	0	0
23	20.248687499999996	0	0	0
24	20.26383203125	0	0	0
25	20.424011718750002	0	0	0
26	20.42950390625	0	0	0
27	20.49843359375	0	0	0
28	20.609351562500002	0	0	0
29	20.675375	0	0	0
30	20.832285156250002	0	0	0
31	20.819249999999997	0	0	0
32	20.86802734375	0	0	0
33	20.9775390625	0	0	0
34	21.041425781250002	0	0	0
35	21.1029609375	0	0	0
36	21.25074609375	0	0	0
37	21.329312500000004	0	0	0
38	21.314183593750002	0	0	0
39	21.46183984375	0	0	0
40	21.608046875	0	0	0
41	21.563078125	0	0	0
42	21.7136953125	0	0	0
43	21.777226562499997	0	0	0
44	21.83486328125	0	0	0
45	21.9897421875	0	0	0
46	22.021515625000003	0	0	0
47	22.12016796875	0	0	0
48	22.19831640625	0	0	0
49	22.199183593750003	0	0	0
50	22.364835937499997	0	0	0
51	22.44963671875	0	0	0
52	22.45520703125	0	0	0
53	22.5758515625	0	0	0
54	22.66451171875	0	0	0
55	22.781406249999996	0	0	0
56	22.9173828125	0	0	0
57	22.98469140625	0	0	0
58	23.087890625	0	0	0
59	23.17998828125	0	0	0
60	23.22608203125	0	0	0
61	23.375105468750004	0	0	0
62	23.518214843750002	0	0	0
63	23.6317890625	0	0	0
64	23.745015625	0	0	0
65	23.8092734375	0	0	0
66	23.9643359375	0	0	0
67	24.023359375	0	0	0
68	24.08716015625	0	0	0
69	24.29448828125	0	0	0
70	24.332105468749997	0	0	0
71	24.38379296875	0	0	0
72	24.47185546875	0	0	0
73	24.543519531250002	0	0	0
74	24.6305390625	0	0	0
75	24.680964843749997	0	0	0
76	24.80734375	0	0	0
77	24.85266015625	0	0	0
78	24.9395625	0	0	0
79	25.05925	0	0	0
80	25.1467578125	0	0	0
81	25.233441406249998	0	0	0
82	25.33811328125	0	0	0
83	25.462222656250002	0	0	0
84	25.477675781249996	0	0	0
85	25.6118046875	0	0	0
86	25.69705078125	0	0	0
87	25.767417968750003	0	0	0
88	25.91390234375	0	0	0
89	25.954996093749997	0	0	0
90	26.095234374999997	0	0	0
91	26.210808593750002	0	0	0
92	26.336066406249998	0	0	0
93	26.3766640625	0	0	0
94	26.522351562500003	0	0	0
95	26.593125	0	0	0
96	26.6648828125	0	0	0
97	26.74378515625	0	0	0
98	26.7743515625	0	0	0
99	26.88054296875	0	0	0
100	26.91875390625	0	0	0
101	27.01775	0	0	0
102	27.1711640625	0	0	0
103	27.136972656250002	0	0	0
104	27.241566406249998	0	0	0
105	27.357082031250002	0	0	0
106	27.36196875	0	0	0
107	27.4231484375	0	0	0
108	27.4571875	0	0	0
109	27.529984375	0	0	0
110	27.661972656249997	0	0	0
111	27.688207031250002	0	0	0
112	27.767460937500005	0	0	0
113	27.862546874999996	0	0	0
114	27.92991015625	0	0	0
115	28.04998046875	0	0	0
116	28.1141328125	0	0	0
117	28.23596484375	0	0	0
118	28.31084765625	0	0	0
119	28.480449218750003	0	0	0
120	28.588058593750002	0	0	0
121	28.636203124999998	0	0	0
122	28.66140234375	0	0	0
123	28.80384375	0	0	0
124	28.934718750000002	0	0	0
125	28.98959765625	0	0	0
126	29.09997265625	0	0	0
127	29.187980468750002	0	0	0
128	29.21686328125	0	0	0
129	29.35837109375	0	0	0
130	29.41268359375	0	0	0
131	29.511234375	0	0	0
132	29.622917968750002	0	0	0
133	29.66459375	0	0	0
134	29.675273437500003	0	0	0
135	29.77548046875	0	0	0
136	29.8453515625	0	0	0
137	29.966851562499997	0	0	0
138	29.957625000000004	0	0	0
139	30.0594375	0	0	0
140	30.16825390625	0	0	0
141	30.2800859375	0	0	0
142	30.334234375	0	0	0
143	30.41825	0	0	0
144	30.4794375	0	0	0
145	30.584710937500002	0	0	0
146	30.59003125	0	0	0
147	30.684640625	0	0	0
148	30.78695703125	0	0	0
149	30.851796874999998	0	0	0
150	30.9075859375	0	0	0
151	30.99608984375	0	0	0
152	31.119703124999997	0	0	0
153	31.19051171875	0	0	0
154	31.2527734375	0	0	0
155	31.3101953125	0	0	0
156	31.3840390625	0	0	0
157	31.452796875	0	0	0
158	31.56277734375	0	0	0
159	31.65371875	0	0	0
160	31.715195312499997	0	0	0
161	31.80857421875	0	0	0
162	31.7912734375	0	0	0
163	31.850539062499998	0	0	0
164	31.93617578125	0	0	0
165	32.0169140625	0	0	0
166	32.0992109375	0	0	0
167	32.20260546875	0	0	0
168	32.3051953125	0	0	0
169	32.31087109375	0	0	0
170	32.4171875	0	0	0
