Iteration	Time[s]	Self-consistency iterations	Left solid domain linear solves	Electrolyte domain linear solves	Right solid domain linear solves
46.0	435.71981967098907	3.0	12.0	12.0	12.0
47.0	446.81909155875326	3.0	12.0	12.0	12.0
48.0	457.91836344651745	3.0	12.0	12.0	12.0
49.0	469.01763533428164	3.0	12.0	12.0	12.0
50.0	480.1169072220458	3.0	12.0	12.0	12.0
51.0	491.21617910981	3.0	12.0	12.0	12.0
52.0	502.3154509975742	3.0	12.0	12.0	12.0
53.0	513.4147228853384	3.0	12.0	12.0	12.0
54.0	524.5139947731026	3.0	12.0	12.0	12.0
55.0	535.6132666608668	4.0	16.0	16.0	16.0
56.0	546.712538548631	4.0	16.0	16.0	16.0
57.0	557.8118104363951	4.0	16.0	16.0	16.0
58.0	568.9110823241593	4.0	16.0	16.0	16.0
59.0	580.0103542119235	4.0	16.0	16.0	16.0
60.0	591.1096260996877	4.0	16.0	16.0	16.0
61.0	602.2088979874519	4.0	16.0	16.0	16.0
62.0	613.3081698752161	4.0	16.0	16.0	16.0
63.0	624.4074417629803	4.0	16.0	16.0	16.0
64.0	635.5067136507445	4.0	16.0	16.0	16.0
65.0	646.6059855385087	4.0	16.0	16.0	16.0
66.0	657.7052574262729	4.0	16.0	16.0	16.0
67.0	668.804529314037	4.0	16.0	16.0	16.0
68.0	679.9038012018012	4.0	16.0	16.0	16.0
69.0	691.0030730895654	4.0	16.0	16.0	16.0
70.0	702.1023449773296	4.0	16.0	16.0	16.0
71.0	713.2016168650938	3.0	12.0	12.0	12.0
72.0	724.300888752858	3.0	12.0	12.0	12.0
73.0	735.4001606406222	3.0	12.0	12.0	12.0
74.0	746.4994325283864	3.0	12.0	12.0	12.0
75.0	757.5987044161506	3.0	12.0	12.0	12.0
76.0	768.6979763039147	3.0	12.0	12.0	12.0
77.0	779.7972481916789	3.0	12.0	12.0	12.0
78.0	790.8965200794431	3.0	12.0	12.0	12.0
79.0	801.9957919672073	3.0	12.0	12.0	12.0
80.0	813.0950638549715	4.0	16.0	16.0	16.0
81.0	824.1943357427357	4.0	16.0	16.0	16.0
82.0	835.2936076304999	4.0	16.0	16.0	16.0
83.0	846.3928795182641	4.0	16.0	16.0	16.0
84.0	857.4921514060283	4.0	16.0	16.0	16.0
85.0	868.5914232937924	4.0	16.0	16.0	16.0
86.0	879.6906951815566	4.0	16.0	16.0	16.0
87.0	890.7899670693208	4.0	16.0	16.0	16.0
88.0	901.889238957085	4.0	16.0	16.0	16.0
89.0	912.9885108448492	4.0	16.0	16.0	16.0
90.0	924.0877827326134	4.0	16.0	16.0	16.0
91.0	935.1870546203776	4.0	16.0	16.0	16.0
92.0	946.2863265081418	4.0	16.0	16.0	16.0
93.0	957.385598395906	4.0	16.0	16.0	16.0
94.0	968.4848702836701	3.0	12.0	12.0	12.0
95.0	979.5841421714343	3.0	12.0	12.0	12.0
96.0	990.6834140591985	3.0	12.0	12.0	12.0
97.0	1001.7826859469627	3.0	12.0	12.0	12.0
98.0	1012.8819578347269	3.0	12.0	12.0	12.0
99.0	1023.9812297224911	3.0	12.0	12.0	12.0
100.0	1035.0805016102552	3.0	12.0	12.0	12.0
101.0	1046.1797734980194	3.0	12.0	12.0	12.0
102.0	1057.2790453857835	3.0	12.0	12.0	12.0
103.0	1068.3783172735477	3.0	12.0	12.0	12.0
104.0	1079.477589161312	3.0	12.0	12.0	12.0
105.0	1090.5768610490761	3.0	12.0	12.0	12.0
106.0	1101.6761329368403	3.0	12.0	12.0	12.0
107.0	1112.7754048246045	3.0	12.0	12.0	12.0
108.0	1123.8746767123687	3.0	12.0	12.0	12.0
109.0	1134.9739486001329	3.0	12.0	12.0	12.0
110.0	1146.073220487897	3.0	12.0	12.0	12.0
111.0	1157.1724923756612	3.0	12.0	12.0	12.0
112.0	1168.2717642634254	3.0	12.0	12.0	12.0
113.0	1179.3710361511896	3.0	12.0	12.0	12.0
114.0	1190.4703080389538	3.0	12.0	12.0	12.0
115.0	1201.569579926718	3.0	12.0	12.0	12.0
116.0	1212.6688518144822	4.0	16.0	16.0	16.0
117.0	1223.7681237022464	4.0	16.0	16.0	16.0
118.0	1234.8673955900106	4.0	16.0	16.0	16.0
119.0	1245.9666674777748	4.0	16.0	16.0	16.0
120.0	1257.065939365539	4.0	16.0	16.0	16.0
121.0	1268.1652112533031	4.0	16.0	16.0	16.0
122.0	1279.2644831410673	4.0	16.0	16.0	16.0
123.0	1290.3637550288315	4.0	16.0	16.0	16.0
124.0	1299.243172539043	4.0	16.0	16.0	16.0
125.0	1306.346706547212	3.0	12.0	12.0	12.0
126.0	1312.0295337537473	3.0	12.0	12.0	12.0
127.0	1316.5757955189754	3.0	12.0	12.0	12.0
128.0	1320.212804931158	3.0	12.0	12.0	12.0
129.0	1323.1224124609041	3.0	12.0	12.0	12.0
130.0	1325.8972304328452	3.0	12.0	12.0	12.0
131.0	1328.6720484047862	3.0	12.0	12.0	12.0
132.0	1331.4468663767273	3.0	12.0	12.0	12.0
133.0	1334.2216843486683	3.0	12.0	12.0	12.0
134.0	1336.9965023206094	3.0	12.0	12.0	12.0
135.0	1339.7713202925504	3.0	12.0	12.0	12.0
136.0	1342.5461382644914	3.0	12.0	12.0	12.0
137.0	1345.3209562364325	3.0	12.0	12.0	12.0
138.0	1348.0957742083735	3.0	12.0	12.0	12.0
139.0	1350.8705921803146	3.0	12.0	12.0	12.0
140.0	1353.6454101522556	3.0	12.0	12.0	12.0
141.0	1356.4202281241967	3.0	12.0	12.0	12.0
142.0	1359.1950460961377	3.0	12.0	12.0	12.0
143.0	1361.9698640680788	3.0	12.0	12.0	12.0
144.0	1364.7446820400198	3.0	12.0	12.0	12.0
145.0	1367.5195000119609	3.0	12.0	12.0	12.0
146.0	1370.294317983902	3.0	12.0	12.0	12.0
147.0	1373.069135955843	3.0	12.0	12.0	12.0
148.0	1375.843953927784	3.0	12.0	12.0	12.0
149.0	1378.618771899725	3.0	12.0	12.0	12.0
150.0	1381.393589871666	3.0	12.0	12.0	12.0
151.0	1384.1684078436072	3.0	12.0	12.0	12.0
152.0	1386.9432258155482	3.0	12.0	12.0	12.0
153.0	1389.7180437874893	3.0	12.0	12.0	12.0
154.0	1392.4928617594303	3.0	12.0	12.0	12.0
155.0	1395.2676797313713	3.0	12.0	12.0	12.0
156.0	1398.0424977033124	3.0	12.0	12.0	12.0
157.0	1400.8173156752534	3.0	12.0	12.0	12.0
158.0	1403.5921336471945	3.0	12.0	12.0	12.0
159.0	1406.3669516191355	3.0	12.0	12.0	12.0
160.0	1409.1417695910766	3.0	12.0	12.0	12.0
161.0	1411.9165875630176	3.0	12.0	12.0	12.0
162.0	1414.6914055349587	3.0	12.0	12.0	12.0
163.0	1417.4662235068997	3.0	12.0	12.0	12.0
164.0	1420.2410414788408	3.0	12.0	12.0	12.0
165.0	1423.0158594507818	3.0	12.0	12.0	12.0
166.0	1425.7906774227229	3.0	12.0	12.0	12.0
167.0	1428.565495394664	3.0	12.0	12.0	12.0
168.0	1431.340313366605	3.0	12.0	12.0	12.0
169.0	1434.115131338546	3.0	12.0	12.0	12.0
170.0	1436.889949310487	3.0	12.0	12.0	12.0
