Iteration	Time[s]	Self-consistency iterations	Left solid domain linear solves	Electrolyte domain linear solves	Right solid domain linear solves
1.0	1.1099271887764162	7.0	28.0	28.0	35.0
2.0	2.4973361747469363	3.0	12.0	12.0	14.0
3.0	4.231597407210087	3.0	12.0	12.0	12.0
4.0	6.399423947789025	3.0	12.0	12.0	12.0
5.0	9.109207123512697	3.0	12.0	12.0	15.0
6.0	12.496436093167286	3.0	12.0	12.0	15.0
7.0	16.730472305235523	3.0	12.0	12.0	15.0
8.0	22.02301757032082	3.0	12.0	12.0	15.0
9.0	28.638699151677443	4.0	16.0	16.0	20.0
10.0	36.908301128373225	4.0	16.0	16.0	20.0
11.0	47.245303599242945	4.0	16.0	16.0	20.0
12.0	58.344575487007106	5.0	20.0	20.0	25.0
13.0	69.44384737477127	4.0	16.0	16.0	16.0
14.0	80.54311926253543	4.0	16.0	16.0	16.0
15.0	91.64239115029959	3.0	12.0	12.0	12.0
16.0	102.74166303806375	3.0	12.0	12.0	12.0
17.0	113.84093492582791	3.0	12.0	12.0	12.0
18.0	124.94020681359207	3.0	12.0	12.0	12.0
19.0	136.03947870135624	3.0	12.0	12.0	12.0
20.0	147.1387505891204	3.0	12.0	12.0	12.0
21.0	158.23802247688457	3.0	12.0	12.0	12.0
22.0	169.33729436464873	3.0	12.0	12.0	12.0
23.0	180.4365662524129	3.0	12.0	12.0	12.0
24.0	191.53583814017705	3.0	12.0	12.0	12.0
25.0	202.6351100279412	3.0	12.0	12.0	12.0
26.0	213.73438191570537	3.0	12.0	12.0	12.0
27.0	224.83365380346953	3.0	12.0	12.0	12.0
28.0	235.9329256912337	3.0	12.0	12.0	12.0
29.0	247.03219757899785	3.0	12.0	12.0	12.0
30.0	258.13146946676204	3.0	12.0	12.0	12.0
31.0	269.23074135452623	3.0	12.0	12.0	12.0
32.0	280.3300132422904	3.0	12.0	12.0	12.0
33.0	291.4292851300546	3.0	12.0	12.0	12.0
34.0	302.5285570178188	3.0	12.0	12.0	12.0
35.0	313.627828905583	3.0	12.0	12.0	12.0
36.0	324.7271007933472	3.0	12.0	12.0	12.0
37.0	335.82637268111137	3.0	12.0	12.0	12.0
38.0	346.92564456887555	3.0	12.0	12.0	12.0
39.0	358.02491645663974	3.0	12.0	12.0	12.0
40.0	369.12418834440393	3.0	12.0	12.0	12.0
41.0	380.2234602321681	3.0	12.0	12.0	12.0
42.0	391.3227321199323	3.0	12.0	12.0	12.0
43.0	402.4220040076965	3.0	12.0	12.0	12.0
44.0	413.5212758954607	3.0	12.0	12.0	12.0
45.0	424.6205477832249	3.0	12.0	12.0	12.0
