Interface	Time step	Time[s]	Property	Unit	Initial	Mean	Min	Max	Std	Std[%]	Variation	Variation[%]
Left interface	1	1.1099271887764162	Intercalation fraction	[]	0.92	0.9148230590935326	0.9038268607485871	0.921643498313974	0.003943043312549724	0.4310170445918529	-0.005176940906467475	-0.5627109680942908
Left interface	1	1.1099271887764162	Normalized concentration	[]	1.0	1.0155092079665824	1.0065734728135192	1.0172875621034196	0.0026550333872070423	0.2614484798737947	0.015509207966582395	1.5509207966582395
Left interface	1	1.1099271887764162	Solid potential vs Li.	[V]	0.0	0.010026009652593678	0.009939124421489254	0.010192948461170026	7.82076598802516e-05	0.7800477217775237	0.010026009652593678	0.0
Left interface	1	1.1099271887764162	Electrolyte potential vs Li.	[V]	-3.6801572266265046	-3.6719291977419277	-3.677411165436025	-3.66929711851083	0.002462942966607358	0.06707490351725622	0.008228028884576855	-0.22357818913403477
Left interface	1	1.1099271887764162	Open circuit voltage	[V]	3.6521722120294307	3.6552472658671578	3.651156248009019	3.6616170202856035	0.0023075313768733297	0.06312928261847421	0.003075053837727104	0.08419794191518601
Left interface	1	1.1099271887764162	Potential jump phis-phie	[V]	3.6801572266265046	3.681955207394522	3.679452746626421	3.6873510811513226	0.00239721939590985	0.0651072395203364	0.0017979807680172932	0.04885608568592193
Left interface	1	1.1099271887764162	Overpotential	[V]	0.02798501459707392	0.026707941527363426	0.020019434149742832	0.03619483314230365	0.003125699823026796	11.703259945452492	-0.0012770730697104944	-4.563417557924103
Left interface	1	1.1099271887764162	Exchange current density io	[A.m-2]	1.8963788593570146	1.9607441501740863	1.8858522660588606	2.0500528623792764	0.03636458057969644	1.8546315987462094	0.06436529081707176	3.394115606145042
Left interface	1	1.1099271887764162	Faraday current	[A.m-2]	2.130228874652989	2.0936013115615904	1.5923935968323542	2.827216296114231	0.242669549000908	11.591010554913337	-0.036627563091398585	-1.7194191444506244
Left interface	1	1.1099271887764162	Lithium plating favorable	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Left interface	1	1.1099271887764162	Lithium plating irreversible	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Left interface	1	1.1099271887764162	Lithium plating density	[A.m-2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Left interface	1	1.1099271887764162	Lithium plating cummulative capacity	[C]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Right interface	1	1.1099271887764162	Intercalation fraction	[]	0.04	0.045668056713602474	0.04191493966150178	0.0504859040914795	0.0022795893996943937	4.991649664425957	0.005668056713602473	14.170141784006185
Right interface	1	1.1099271887764162	Normalized concentration	[]	1.0	0.9876600164523488	0.9859929424932588	0.9945455464435111	0.0022312051083463484	0.22590821448465473	-0.012339983547651201	-1.23399835476512
Right interface	1	1.1099271887764162	Solid potential vs Li.	[V]	-3.346647603707168	-3.3795043247093304	-3.3795206954451116	-3.3794960119931376	7.5931627795208365e-06	0.00022468273598596212	-3.3795043247093304	0.0
Right interface	1	1.1099271887764162	Electrolyte potential vs Li.	[V]	-3.6801572266265046	-3.686517699094953	-3.688290422650205	-3.6828835149812646	0.0016454223751740389	0.04463351350728611	-0.006360472468448286	0.1728315416099423
Right interface	1	1.1099271887764162	Open circuit voltage	[V]	0.3563413361105917	0.32824821541046284	0.30653430925077707	0.34633005671608663	0.010651710349759968	3.2450169870506014	-0.02809312070012887	-7.883767010238206
Right interface	1	1.1099271887764162	Potential jump phis-phie	[V]	0.3335096229193364	0.30701337438562193	0.30338743890629116	0.3087698189242092	0.0016390243989625349	0.5338609115132067	-0.02649624853371446	-7.944672870840348
Right interface	1	1.1099271887764162	Overpotential	[V]	-0.02283171319125532	-0.021234841024840963	-0.041605649998406546	-0.002591672543587331	0.010624809575212566	50.03479688302559	0.0015968721664143572	-6.99409699586612
Right interface	1	1.1099271887764162	Exchange current density io	[A.m-2]	2.3612877842397775	2.499170364789234	2.39798898664121	2.63069443444407	0.05968991993381459	2.3883893941279393	0.13788258054945635	5.839295890562021
Right interface	1	1.1099271887764162	Faraday current	[A.m-2]	-2.1302288746529743	-2.104901785902732	-4.264210866853129	-0.2573052580696985	1.0643523831059563	50.56541783727386	0.025327088750242144	-1.1889374447789354
Right interface	1	1.1099271887764162	Lithium plating favorable	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Right interface	1	1.1099271887764162	Lithium plating irreversible	[]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Right interface	1	1.1099271887764162	Lithium plating density	[A.m-2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Right interface	1	1.1099271887764162	Lithium plating cummulative capacity	[C]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
