Time step	Time[s]	Interface	Side	Target[A]	Reach[A]	Error[A]	Rel. error[%]
0	0	Left interface	Solid	1.4042809578332822e-08	1.4042809578332936e-08	1.1415092453231782e-22	8.128781060197922e-13
0	0	Left interface	Electrolyte	1.4042809578332822e-08	1.4042809578332824e-08	1.6543612251060553e-24	1.1780842116228874e-14
0	0	Right interface	Solid	-1.4042809578332822e-08	-1.4042809578332796e-08	2.6469779601696886e-23	-1.8849347385966198e-13
0	0	Right interface	Electrolyte	-1.4042809578332822e-08	-1.4042809578332774e-08	4.7976475528075605e-23	-3.4164442137063735e-13
