Domain	Process rank	Number of cells	Number of vertices	Number of DOFs	DOF Load [%]	Ideal load [%]
R_material	8.0	23363.0	4935.0	9074.0	2.6978973407544835	2.7777777777777777
R_material	9.0	23004.0	5028.0	9080.0	2.6996812711098426	2.7777777777777777
R_material	10.0	22988.0	4833.0	9304.0	2.766281337709909	2.7777777777777777
R_material	11.0	21974.0	4616.0	8890.0	2.643190143190143	2.7777777777777777
R_material	12.0	22594.0	4746.0	9208.0	2.7377384520241663	2.7777777777777777
R_material	13.0	22753.0	5063.0	9620.0	2.860235003092146	2.7777777777777777
R_material	14.0	22926.0	4805.0	9230.0	2.7442795299938156	2.7777777777777777
R_material	15.0	22131.0	4856.0	8800.0	2.6164311878597593	2.7777777777777777
R_material	16.0	21997.0	4828.0	9266.0	2.754983112125969	2.7777777777777777
R_material	17.0	23016.0	4830.0	9362.0	2.783525997811712	2.7777777777777777
R_material	18.0	23716.0	5110.0	9654.0	2.8703439417725134	2.7777777777777777
R_material	19.0	23947.0	5335.0	10354.0	3.0784691498977215	2.7777777777777777
R_material	20.0	23000.0	4843.0	8858.0	2.633675847961562	2.7777777777777777
R_material	21.0	23381.0	4905.0	9506.0	2.8263403263403264	2.7777777777777777
R_material	22.0	23360.0	4924.0	9440.0	2.806717092431378	2.7777777777777777
R_material	23.0	23365.0	5209.0	10108.0	3.005328005328005	2.7777777777777777
R_material	24.0	23807.0	5246.0	10110.0	3.0059226487797917	2.7777777777777777
R_material	25.0	23072.0	5042.0	9618.0	2.8596403596403595	2.7777777777777777
R_material	26.0	23276.0	4889.0	9394.0	2.793040293040293	2.7777777777777777
R_material	27.0	19716.0	4201.0	7614.0	2.263807620950478	2.7777777777777777
R_material	28.0	23812.0	5239.0	10188.0	3.0291137433994577	2.7777777777777777
R_material	29.0	23040.0	4836.0	9318.0	2.7704438418724133	2.7777777777777777
R_material	30.0	23716.0	5185.0	10044.0	2.9862994148708433	2.7777777777777777
R_material	31.0	22527.0	4730.0	9150.0	2.7204937919223635	2.7777777777777777
R_material	32.0	20657.0	4440.0	7956.0	2.3654916512059367	2.7777777777777777
R_material	33.0	22935.0	4817.0	9268.0	2.7555777555777556	2.7777777777777777
R_material	34.0	21642.0	4801.0	8590.0	2.553993625422197	2.7777777777777777
R_material	35.0	23541.0	5184.0	9962.0	2.9619190333476046	2.7777777777777777
