Time step	Time[s]	Domain	Location	Type	Threshold 1	[%]	Threshold 2	[%]
1	1.1099271887764162	Electrolyte	Left activeinterface	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Electrolyte	Right active interface	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Left active material	Active interface	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Left active material	Active interface	Saturation	0.95	0.0	0.99	0.0
1	1.1099271887764162	Right active material	Active interface	Depletion	0.05	99.33982184898414	0.01	0.0
1	1.1099271887764162	Right active material	Active interface	Saturation	0.95	0.0	0.99	0.0
1	1.1099271887764162	Electrolyte	Left electrode	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Electrolyte	Separator	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Electrolyte	Right electrode	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Left active material	Volume	Depletion	0.05	0.0	0.01	0.0
1	1.1099271887764162	Left active material	Volume	Saturation	0.95	0.0	0.99	0.0
1	1.1099271887764162	Right active material	Volume	Depletion	0.05	99.97528081718707	0.01	0.0
1	1.1099271887764162	Right active material	Volume	Saturation	0.95	0.0	0.99	0.0
2	2.4973361747469363	Electrolyte	Left activeinterface	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Electrolyte	Right active interface	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Left active material	Active interface	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Left active material	Active interface	Saturation	0.95	0.0	0.99	0.0
2	2.4973361747469363	Right active material	Active interface	Depletion	0.05	49.20835254807546	0.01	0.0
2	2.4973361747469363	Right active material	Active interface	Saturation	0.95	0.0	0.99	0.0
2	2.4973361747469363	Electrolyte	Left electrode	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Electrolyte	Separator	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Electrolyte	Right electrode	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Left active material	Volume	Depletion	0.05	0.0	0.01	0.0
2	2.4973361747469363	Left active material	Volume	Saturation	0.95	0.0	0.99	0.0
2	2.4973361747469363	Right active material	Volume	Depletion	0.05	96.013244150397	0.01	0.0
2	2.4973361747469363	Right active material	Volume	Saturation	0.95	0.0	0.99	0.0
3	4.231597407210087	Electrolyte	Left activeinterface	Depletion	0.05	0.0	0.01	0.0
3	4.231597407210087	Electrolyte	Right active interface	Depletion	0.05	0.0	0.01	0.0
3	4.231597407210087	Left active material	Active interface	Depletion	0.05	0.0	0.01	0.0
3	4.231597407210087	Left active material	Active interface	Saturation	0.95	0.0	0.99	0.0
3	4.231597407210087	Right active material	Active interface	Depletion	0.05	7.753857107027969	0.01	0.0
3	4.231597407210087	Right active material	Active interface	Saturation	0.95	0.0	0.99	0.0
3	4.231597407210087	Electrolyte	Left electrode	Depletion	0.05	0.0	0.01	0.0
3	4.231597407210087	Electrolyte	Separator	Depletion	0.05	0.0	0.01	0.0
