Time step	Time[s]	Interface	Domain	Type	Surface[%]
1	1.1099271887764162	Right interface	Right active material	Favorable	0.0
1	1.1099271887764162	Right interface	Right active material	Cumulated	0.0
1	1.1099271887764162	Right interface	Right active material	Used in the model	0.0
1	1.1099271887764162	Right interface	Electrolyte	Used in the model	0.0
2	2.4973361747469363	Right interface	Right active material	Favorable	0.0
2	2.4973361747469363	Right interface	Right active material	Cumulated	0.0
2	2.4973361747469363	Right interface	Right active material	Used in the model	0.0
2	2.4973361747469363	Right interface	Electrolyte	Used in the model	0.0
3	4.231597407210087	Right interface	Right active material	Favorable	0.0
3	4.231597407210087	Right interface	Right active material	Cumulated	0.0
3	4.231597407210087	Right interface	Right active material	Used in the model	0.0
3	4.231597407210087	Right interface	Electrolyte	Used in the model	0.0
4	6.399423947789025	Right interface	Right active material	Favorable	0.0
4	6.399423947789025	Right interface	Right active material	Cumulated	0.0
4	6.399423947789025	Right interface	Right active material	Used in the model	0.0
4	6.399423947789025	Right interface	Electrolyte	Used in the model	0.0
5	9.109207123512697	Right interface	Right active material	Favorable	0.0
5	9.109207123512697	Right interface	Right active material	Cumulated	0.0
5	9.109207123512697	Right interface	Right active material	Used in the model	0.0
5	9.109207123512697	Right interface	Electrolyte	Used in the model	0.0
6	12.496436093167286	Right interface	Right active material	Favorable	0.0
6	12.496436093167286	Right interface	Right active material	Cumulated	0.0
6	12.496436093167286	Right interface	Right active material	Used in the model	0.0
6	12.496436093167286	Right interface	Electrolyte	Used in the model	0.0
7	16.730472305235523	Right interface	Right active material	Favorable	0.0
7	16.730472305235523	Right interface	Right active material	Cumulated	0.0
7	16.730472305235523	Right interface	Right active material	Used in the model	0.0
7	16.730472305235523	Right interface	Electrolyte	Used in the model	0.0
8	22.02301757032082	Right interface	Right active material	Favorable	0.0
8	22.02301757032082	Right interface	Right active material	Cumulated	0.0
8	22.02301757032082	Right interface	Right active material	Used in the model	0.0
8	22.02301757032082	Right interface	Electrolyte	Used in the model	0.0
9	28.638699151677443	Right interface	Right active material	Favorable	0.0
9	28.638699151677443	Right interface	Right active material	Cumulated	0.0
9	28.638699151677443	Right interface	Right active material	Used in the model	0.0
9	28.638699151677443	Right interface	Electrolyte	Used in the model	0.0
10	36.908301128373225	Right interface	Right active material	Favorable	0.0
10	36.908301128373225	Right interface	Right active material	Cumulated	0.0
10	36.908301128373225	Right interface	Right active material	Used in the model	0.0
10	36.908301128373225	Right interface	Electrolyte	Used in the model	0.0
11	47.245303599242945	Right interface	Right active material	Favorable	0.0
11	47.245303599242945	Right interface	Right active material	Cumulated	0.0
11	47.245303599242945	Right interface	Right active material	Used in the model	0.0
11	47.245303599242945	Right interface	Electrolyte	Used in the model	0.0
12	58.344575487007106	Right interface	Right active material	Favorable	0.0
12	58.344575487007106	Right interface	Right active material	Cumulated	0.0
12	58.344575487007106	Right interface	Right active material	Used in the model	0.0
12	58.344575487007106	Right interface	Electrolyte	Used in the model	0.0
13	69.44384737477127	Right interface	Right active material	Favorable	0.0
13	69.44384737477127	Right interface	Right active material	Cumulated	0.0
13	69.44384737477127	Right interface	Right active material	Used in the model	0.0
13	69.44384737477127	Right interface	Electrolyte	Used in the model	0.0
14	80.54311926253543	Right interface	Right active material	Favorable	0.0
14	80.54311926253543	Right interface	Right active material	Cumulated	0.0
14	80.54311926253543	Right interface	Right active material	Used in the model	0.0
14	80.54311926253543	Right interface	Electrolyte	Used in the model	0.0
15	91.64239115029959	Right interface	Right active material	Favorable	0.0
15	91.64239115029959	Right interface	Right active material	Cumulated	0.0
15	91.64239115029959	Right interface	Right active material	Used in the model	0.0
15	91.64239115029959	Right interface	Electrolyte	Used in the model	0.0
16	102.74166303806375	Right interface	Right active material	Favorable	0.0
16	102.74166303806375	Right interface	Right active material	Cumulated	0.0
16	102.74166303806375	Right interface	Right active material	Used in the model	0.0
16	102.74166303806375	Right interface	Electrolyte	Used in the model	0.0
17	113.84093492582791	Right interface	Right active material	Favorable	0.0
17	113.84093492582791	Right interface	Right active material	Cumulated	0.0
17	113.84093492582791	Right interface	Right active material	Used in the model	0.0
17	113.84093492582791	Right interface	Electrolyte	Used in the model	0.0
18	124.94020681359207	Right interface	Right active material	Favorable	0.0
18	124.94020681359207	Right interface	Right active material	Cumulated	0.0
18	124.94020681359207	Right interface	Right active material	Used in the model	0.0
18	124.94020681359207	Right interface	Electrolyte	Used in the model	0.0
19	136.03947870135624	Right interface	Right active material	Favorable	0.0
19	136.03947870135624	Right interface	Right active material	Cumulated	0.0
19	136.03947870135624	Right interface	Right active material	Used in the model	0.0
19	136.03947870135624	Right interface	Electrolyte	Used in the model	0.0
20	147.1387505891204	Right interface	Right active material	Favorable	0.0
20	147.1387505891204	Right interface	Right active material	Cumulated	0.0
20	147.1387505891204	Right interface	Right active material	Used in the model	0.0
20	147.1387505891204	Right interface	Electrolyte	Used in the model	0.0
21	158.23802247688457	Right interface	Right active material	Favorable	0.0
21	158.23802247688457	Right interface	Right active material	Cumulated	0.0
21	158.23802247688457	Right interface	Right active material	Used in the model	0.0
21	158.23802247688457	Right interface	Electrolyte	Used in the model	0.0
22	169.33729436464873	Right interface	Right active material	Favorable	0.0
22	169.33729436464873	Right interface	Right active material	Cumulated	0.0
22	169.33729436464873	Right interface	Right active material	Used in the model	0.0
22	169.33729436464873	Right interface	Electrolyte	Used in the model	0.0
23	180.4365662524129	Right interface	Right active material	Favorable	0.0
23	180.4365662524129	Right interface	Right active material	Cumulated	0.0
23	180.4365662524129	Right interface	Right active material	Used in the model	0.0
23	180.4365662524129	Right interface	Electrolyte	Used in the model	0.0
24	191.53583814017705	Right interface	Right active material	Favorable	0.0
24	191.53583814017705	Right interface	Right active material	Cumulated	0.0
24	191.53583814017705	Right interface	Right active material	Used in the model	0.0
24	191.53583814017705	Right interface	Electrolyte	Used in the model	0.0
25	202.6351100279412	Right interface	Right active material	Favorable	0.0
25	202.6351100279412	Right interface	Right active material	Cumulated	0.0
25	202.6351100279412	Right interface	Right active material	Used in the model	0.0
25	202.6351100279412	Right interface	Electrolyte	Used in the model	0.0
26	213.73438191570537	Right interface	Right active material	Favorable	0.0
26	213.73438191570537	Right interface	Right active material	Cumulated	0.0
26	213.73438191570537	Right interface	Right active material	Used in the model	0.0
26	213.73438191570537	Right interface	Electrolyte	Used in the model	0.0
27	224.83365380346953	Right interface	Right active material	Favorable	0.0
27	224.83365380346953	Right interface	Right active material	Cumulated	0.0
27	224.83365380346953	Right interface	Right active material	Used in the model	0.0
27	224.83365380346953	Right interface	Electrolyte	Used in the model	0.0
28	235.9329256912337	Right interface	Right active material	Favorable	0.0
28	235.9329256912337	Right interface	Right active material	Cumulated	0.0
28	235.9329256912337	Right interface	Right active material	Used in the model	0.0
28	235.9329256912337	Right interface	Electrolyte	Used in the model	0.0
29	247.03219757899785	Right interface	Right active material	Favorable	0.0
29	247.03219757899785	Right interface	Right active material	Cumulated	0.0
29	247.03219757899785	Right interface	Right active material	Used in the model	0.0
29	247.03219757899785	Right interface	Electrolyte	Used in the model	0.0
30	258.13146946676204	Right interface	Right active material	Favorable	0.0
30	258.13146946676204	Right interface	Right active material	Cumulated	0.0
30	258.13146946676204	Right interface	Right active material	Used in the model	0.0
30	258.13146946676204	Right interface	Electrolyte	Used in the model	0.0
31	269.23074135452623	Right interface	Right active material	Favorable	0.0
31	269.23074135452623	Right interface	Right active material	Cumulated	0.0
31	269.23074135452623	Right interface	Right active material	Used in the model	0.0
31	269.23074135452623	Right interface	Electrolyte	Used in the model	0.0
32	280.3300132422904	Right interface	Right active material	Favorable	0.0
32	280.3300132422904	Right interface	Right active material	Cumulated	0.0
32	280.3300132422904	Right interface	Right active material	Used in the model	0.0
32	280.3300132422904	Right interface	Electrolyte	Used in the model	0.0
33	291.4292851300546	Right interface	Right active material	Favorable	0.0
33	291.4292851300546	Right interface	Right active material	Cumulated	0.0
33	291.4292851300546	Right interface	Right active material	Used in the model	0.0
33	291.4292851300546	Right interface	Electrolyte	Used in the model	0.0
34	302.5285570178188	Right interface	Right active material	Favorable	0.0
34	302.5285570178188	Right interface	Right active material	Cumulated	0.0
34	302.5285570178188	Right interface	Right active material	Used in the model	0.0
34	302.5285570178188	Right interface	Electrolyte	Used in the model	0.0
35	313.627828905583	Right interface	Right active material	Favorable	0.0
35	313.627828905583	Right interface	Right active material	Cumulated	0.0
35	313.627828905583	Right interface	Right active material	Used in the model	0.0
35	313.627828905583	Right interface	Electrolyte	Used in the model	0.0
36	324.7271007933472	Right interface	Right active material	Favorable	0.0
36	324.7271007933472	Right interface	Right active material	Cumulated	0.0
36	324.7271007933472	Right interface	Right active material	Used in the model	0.0
36	324.7271007933472	Right interface	Electrolyte	Used in the model	0.0
37	335.82637268111137	Right interface	Right active material	Favorable	0.0
37	335.82637268111137	Right interface	Right active material	Cumulated	0.0
37	335.82637268111137	Right interface	Right active material	Used in the model	0.0
37	335.82637268111137	Right interface	Electrolyte	Used in the model	0.0
38	346.92564456887555	Right interface	Right active material	Favorable	0.0
38	346.92564456887555	Right interface	Right active material	Cumulated	0.0
38	346.92564456887555	Right interface	Right active material	Used in the model	0.0
38	346.92564456887555	Right interface	Electrolyte	Used in the model	0.0
39	358.02491645663974	Right interface	Right active material	Favorable	0.0
39	358.02491645663974	Right interface	Right active material	Cumulated	0.0
39	358.02491645663974	Right interface	Right active material	Used in the model	0.0
39	358.02491645663974	Right interface	Electrolyte	Used in the model	0.0
40	369.12418834440393	Right interface	Right active material	Favorable	0.0
40	369.12418834440393	Right interface	Right active material	Cumulated	0.0
40	369.12418834440393	Right interface	Right active material	Used in the model	0.0
40	369.12418834440393	Right interface	Electrolyte	Used in the model	0.0
41	380.2234602321681	Right interface	Right active material	Favorable	0.0
41	380.2234602321681	Right interface	Right active material	Cumulated	0.0
41	380.2234602321681	Right interface	Right active material	Used in the model	0.0
41	380.2234602321681	Right interface	Electrolyte	Used in the model	0.0
42	391.3227321199323	Right interface	Right active material	Favorable	0.0
42	391.3227321199323	Right interface	Right active material	Cumulated	0.0
42	391.3227321199323	Right interface	Right active material	Used in the model	0.0
42	391.3227321199323	Right interface	Electrolyte	Used in the model	0.0
43	402.4220040076965	Right interface	Right active material	Favorable	0.0
43	402.4220040076965	Right interface	Right active material	Cumulated	0.0
43	402.4220040076965	Right interface	Right active material	Used in the model	0.0
43	402.4220040076965	Right interface	Electrolyte	Used in the model	0.0
44	413.5212758954607	Right interface	Right active material	Favorable	0.0
44	413.5212758954607	Right interface	Right active material	Cumulated	0.0
44	413.5212758954607	Right interface	Right active material	Used in the model	0.0
44	413.5212758954607	Right interface	Electrolyte	Used in the model	0.0
45	424.6205477832249	Right interface	Right active material	Favorable	0.0
45	424.6205477832249	Right interface	Right active material	Cumulated	0.0
45	424.6205477832249	Right interface	Right active material	Used in the model	0.0
45	424.6205477832249	Right interface	Electrolyte	Used in the model	0.0
46	435.71981967098907	Right interface	Right active material	Favorable	0.0
46	435.71981967098907	Right interface	Right active material	Cumulated	0.0
46	435.71981967098907	Right interface	Right active material	Used in the model	0.0
46	435.71981967098907	Right interface	Electrolyte	Used in the model	0.0
47	446.81909155875326	Right interface	Right active material	Favorable	0.0
47	446.81909155875326	Right interface	Right active material	Cumulated	0.0
