Domain	Time step	Time[s]	Field	Unit	Initial	Mean	Min	Max	Std	Std[%]	Variation	Variation[%]
Left active material	1	1.1099271887764162	Intercalation fraction	[]	0.92	0.919630024269917	0.9111042279589352	0.9213611744885777	0.0010808907984573778	0.11753539683688641	-0.00036997573008301643	-0.040214753269893086
Electrolyte, left electrode	1	1.1099271887764162	Normalized concentration	[]	1.0	1.0142481252053397	1.0059392551320383	1.0172105804388176	0.0005619966397299065	0.05541017289192947	0.01424812520533969	1.424812520533969
Separator	1	1.1099271887764162	Normalized concentration	[]	1.0	1.000283047938315	0.9948524506523738	1.0060310085844295	0.0015612154241077033	0.15607736503426728	0.0002830479383149065	0.02830479383149065
Electrolyte, right electrode	1	1.1099271887764162	Normalized concentration	[]	1.0	0.9886107952197138	0.9860590921795482	0.9949275492513387	0.00043281072441088647	0.04377968827604548	-0.011389204780286155	-1.1389204780286155
Electrolyte + Separator	1	1.1099271887764162	Normalized concentration	[]	1.0	1.001275411294636	0.9860590921795482	1.0172105804388176	0.016875474718378566	1.685397896324928	0.0012754112946360419	0.12754112946360419
Right active material	1	1.1099271887764162	Intercalation fraction	[]	0.04	0.040655385578113296	0.03944752865035996	0.04773122012744138	0.0013886845399365474	3.4157455898866225	0.0006553855781132947	1.6384639452832368
Left active material	1	1.1099271887764162	Potential vs Li.	[V]	0.0	0.010027446166743243	0.009939216323501695	0.010192496774072298	1.1112619236382836e-05	0.11082202837680373	0.010027446166743243	0.0
Electrolyte, left electrode	1	1.1099271887764162	Potential vs Li.	[V]	-3.6801572266265046	-3.672581326392598	-3.677537478621162	-3.6692986007126844	0.0003866197585456278	0.010527193932150703	0.007575900233906641	-0.20585805897350892
Separator	1	1.1099271887764162	Potential vs Li.	[V]	-3.6801572266265046	-3.68018011238363	-3.682844108044418	-3.6774735428890533	0.0007813010967910523	0.021229968994219833	-2.2885757125390427e-05	0.0006218690049383882
Electrolyte, right electrode	1	1.1099271887764162	Potential vs Li.	[V]	-3.6801572266265046	-3.6860853262016104	-3.688289158783116	-3.682798837952106	0.0002587755032639211	0.007020334049900158	-0.005928099575105872	0.16108278016534613
Electrolyte + Separator	1	1.1099271887764162	Potential vs Li.	[V]	-3.6801572266265046	-3.6794471130065176	-3.688289158783116	-3.6692986007126844	0.008893461426825684	0.24170646169605456	0.0007101136199869629	-0.019295741357167606
Right active material	1	1.1099271887764162	Potential vs Li.	[V]	-3.346647603707168	-3.3795044632790066	-3.379520650665868	-3.3794960177778512	1.2537663986237585e-06	3.709911947879504e-05	-0.03285685957183837	0.9817842648100139
Left active material	2	2.4973361747469363	Intercalation fraction	[]	0.92	0.9191675546079269	0.901979094468458	0.9222374751241817	0.0022646046846830177	0.24637561164218674	-0.0008324453920731667	-0.09048319479056159
Electrolyte, left electrode	2	2.4973361747469363	Normalized concentration	[]	1.0	1.0306045591575974	1.0128204041694526	1.037377806598108	0.0011347043416715787	0.110100846303078	0.03060455915759741	3.060455915759741
Separator	2	2.4973361747469363	Normalized concentration	[]	1.0	1.0006226320331755	0.9886518031621999	1.0130809395974052	0.003482667825765907	0.3480500754502153	0.0006226320331754742	0.06226320331754742
Electrolyte, right electrode	2	2.4973361747469363	Normalized concentration	[]	1.0	0.9755308624301731	0.9692666876131459	0.9888452189122767	0.000902025177892107	0.09246505801408403	-0.024469137569826938	-2.4469137569826938
Electrolyte + Separator	2	2.4973361747469363	Normalized concentration	[]	1.0	1.0027391538290678	0.9692666876131459	1.037377806598108	0.03625134370569608	3.6152316948297485	0.002739153829067753	0.2739153829067753
Right active material	2	2.4973361747469363	Intercalation fraction	[]	0.04	0.04147461755078161	0.03967287121055954	0.05357473278458635	0.002727130916328733	6.575421492405983	0.0014746175507816123	3.6865438769540306
Left active material	2	2.4973361747469363	Potential vs Li.	[V]	0.0	0.012527881405782612	0.012440207864519152	0.012692486010518417	1.1071312636209545e-05	0.08837338315713425	0.012527881405782612	0.0
Electrolyte, left electrode	2	2.4973361747469363	Potential vs Li.	[V]	-3.6801572266265046	-3.672386855310286	-3.6773739431224803	-3.669075324513113	0.00038950993726769397	0.010606451678807537	0.007770371316218494	-0.21114237348335718
Separator	2	2.4973361747469363	Potential vs Li.	[V]	-3.6801572266265046	-3.6800182297852944	-3.682682561165922	-3.677309677083967	0.0007816126764261522	0.02123936968842655	0.00013899684121021494	-0.003776926708580584
Electrolyte, right electrode	2	2.4973361747469363	Potential vs Li.	[V]	-3.6801572266265046	-3.685938739893896	-3.6881596899216045	-3.682637270331521	0.0002603287044937506	0.007062751794432348	-0.005781513267391514	0.15709962676489403
Electrolyte + Separator	2	2.4973361747469363	Potential vs Li.	[V]	-3.6801572266265046	-3.6792777461290003	-3.6881596899216045	-3.669075324513113	0.008925122789763209	0.2425781200985277	0.0008794804975043036	-0.023897905533522498
Right active material	2	2.4973361747469363	Potential vs Li.	[V]	-3.346647603707168	-3.4001019703216246	-3.4001180828057147	-3.4000936148754466	1.2452267327946943e-06	3.6623217293575485e-05	-0.05345436661445646	1.5972511284200845
Left active material	3	4.231597407210087	Intercalation fraction	[]	0.92	0.9185894675304392	0.8927351554132898	0.9225161380491815	0.0035739949882625443	0.38907423986354484	-0.001410532469560799	-0.1533187466913912
Electrolyte, left electrode	3	4.231597407210087	Normalized concentration	[]	1.0	1.0492229854088173	1.020086013134714	1.0623802349758364	0.0019216945386248243	0.1831540640404896	0.04922298540881731	4.922298540881731
Separator	3	4.231597407210087	Normalized concentration	[]	1.0	1.0008163229498035	0.9817238863438895	1.0205125242210713	0.005580017413097441	0.5575466032215474	0.0008163229498034941	0.0816322949803494
Electrolyte, right electrode	3	4.231597407210087	Normalized concentration	[]	1.0	0.9607134839155056	0.9494298497749616	0.9820369509490211	0.0015014373567203581	0.15628357276717014	-0.039286516084494405	-3.9286516084494405
