Time step	Applied current[A]	Active interface left current[A]	Active interface right current[A]
0	1.4042809578332822e-08	1.4042809578332936e-08	1.4042809578332796e-08
1	1.4042809578332822e-08	1.3839159918867611e-08	1.3849299969886104e-08
2	1.4042809578332822e-08	1.3853063824316968e-08	1.4297720103624218e-08
3	1.4042809578332822e-08	1.391671384955832e-08	1.4575912725235703e-08
4	1.4042809578332822e-08	1.4026255190220602e-08	1.4880099751808339e-08
5	1.4042809578332822e-08	1.4152376802058799e-08	1.5056175930500026e-08
6	1.4042809578332822e-08	1.4260289893520922e-08	1.497677077210979e-08
7	1.4042809578332822e-08	1.4313278504976613e-08	1.4821103053676331e-08
8	1.4042809578332822e-08	1.4295354254969289e-08	1.4927827660546138e-08
9	1.4042809578332822e-08	1.4204909577597489e-08	1.4829538060927686e-08
10	1.4042809578332822e-08	1.4058186854583585e-08	1.4311423887742296e-08
11	1.4042809578332822e-08	1.3897491545106572e-08	1.384354112650348e-08
12	1.4042809578332822e-08	1.3804830894415805e-08	1.3753542296995951e-08
13	1.4042809578332822e-08	1.3812677164329064e-08	1.3730500075948675e-08
14	1.4042809578332822e-08	1.3913570846464621e-08	1.3663507034667562e-08
15	1.4042809578332822e-08	1.407495485187312e-08	1.3619028872420632e-08
16	1.4042809578332822e-08	1.4255695527091728e-08	1.3648281464697895e-08
17	1.4042809578332822e-08	1.4422201700205736e-08	1.3751567479235407e-08
18	1.4042809578332822e-08	1.4555086144183144e-08	1.3880277598339989e-08
19	1.4042809578332822e-08	1.46438453096886e-08	1.3983449222397458e-08
20	1.4042809578332822e-08	1.4689277136590989e-08	1.4062882436747211e-08
21	1.4042809578332822e-08	1.4698785578673817e-08	1.4141125180060134e-08
22	1.4042809578332822e-08	1.467982155646909e-08	1.417435449413399e-08
23	1.4042809578332822e-08	1.4638632171476688e-08	1.4108874225705465e-08
24	1.4042809578332822e-08	1.4581226376052745e-08	1.3996973771046036e-08
25	1.4042809578332822e-08	1.4513068562074506e-08	1.3938206284876e-08
26	1.4042809578332822e-08	1.4438485178397335e-08	1.3973242870071732e-08
27	1.4042809578332822e-08	1.4360846376219152e-08	1.4076756151374129e-08
28	1.4042809578332822e-08	1.4283044732696915e-08	1.4188099258615206e-08
29	1.4042809578332822e-08	1.4207529479083515e-08	1.4230460548903912e-08
30	1.4042809578332822e-08	1.4136436633732872e-08	1.4167048757765832e-08
31	1.4042809578332822e-08	1.4071992271866204e-08	1.402591907133724e-08
32	1.4042809578332822e-08	1.4016769821759233e-08	1.3870638646280091e-08
33	1.4042809578332822e-08	1.3973322269191521e-08	1.3755209927767923e-08
34	1.4042809578332822e-08	1.3943821215605849e-08	1.3699170342282674e-08
35	1.4042809578332822e-08	1.3930130028409247e-08	1.3696893309194534e-08
36	1.4042809578332822e-08	1.3933588275745521e-08	1.3733838929914236e-08
37	1.4042809578332822e-08	1.3954607861972417e-08	1.379262539140312e-08
38	1.4042809578332822e-08	1.39930338005132e-08	1.3855993058533983e-08
39	1.4042809578332822e-08	1.4048341134307988e-08	1.3911340588047752e-08
40	1.4042809578332822e-08	1.4119425824707163e-08	1.3951094644213794e-08
41	1.4042809578332822e-08	1.42044947622285e-08	1.3972336084997307e-08
42	1.4042809578332822e-08	1.4301339863481994e-08	1.3976631749129185e-08
43	1.4042809578332822e-08	1.4407791366965838e-08	1.3969251622777714e-08
44	1.4042809578332822e-08	1.4521706581940692e-08	1.3956741889748758e-08
45	1.4042809578332822e-08	1.4640883325763191e-08	1.3944185444939656e-08
46	1.4042809578332822e-08	1.4762896449260721e-08	1.3934229692431363e-08
47	1.4042809578332822e-08	1.4885220472284233e-08	1.3927984388046614e-08
48	1.4042809578332822e-08	1.500543353988887e-08	1.3926429945581817e-08
49	1.4042809578332822e-08	1.5121275471028032e-08	1.3930310108217757e-08
50	1.4042809578332822e-08	1.5230626329124646e-08	1.3939809241642735e-08
51	1.4042809578332822e-08	1.5331480082784515e-08	1.3954620964838908e-08
52	1.4042809578332822e-08	1.5421920876198408e-08	1.397406165075704e-08
53	1.4042809578332822e-08	1.5500101376936725e-08	1.399740095573628e-08
54	1.4042809578332822e-08	1.556422219483527e-08	1.402455289685438e-08
55	1.4042809578332822e-08	1.561292082412323e-08	1.4056000485835917e-08
56	1.4042809578332822e-08	1.5643756760971693e-08	1.409002954112879e-08
57	1.4042809578332822e-08	1.5655337684603936e-08	1.4124330440627476e-08
58	1.4042809578332822e-08	1.5645953055483512e-08	1.4155707555756004e-08
59	1.4042809578332822e-08	1.5613869646441935e-08	1.4182228975133607e-08
60	1.4042809578332822e-08	1.5557328089860048e-08	1.4203414887168463e-08
61	1.4042809578332822e-08	1.5474532710468397e-08	1.421968401380109e-08
62	1.4042809578332822e-08	1.5363640715352523e-08	1.4231755387301933e-08
63	1.4042809578332822e-08	1.522275858378429e-08	1.424084810177566e-08
64	1.4042809578332822e-08	1.505014507491969e-08	1.4248641935147793e-08
65	1.4042809578332822e-08	1.4845125047115429e-08	1.425648204894062e-08
66	1.4042809578332822e-08	1.4609892592142684e-08	1.4266401394407773e-08
67	1.4042809578332822e-08	1.4351636100844088e-08	1.4282001694782008e-08
68	1.4042809578332822e-08	1.4081662516667385e-08	1.430713666828649e-08
69	1.4042809578332822e-08	1.3811841613631143e-08	1.4342517432416832e-08
70	1.4042809578332822e-08	1.3551874750034014e-08	1.438314084129e-08
